chinese,pinyin,english_def,ch_tag,eng_tag
萬,wàn,Ten thousand,萬佛聖城宗旨,cttb_traditions
佛,fó,Buddha,萬佛聖城宗旨,cttb_traditions
聖,shèng,Sagely; Holy,萬佛聖城宗旨,cttb_traditions
城,chéng,City,萬佛聖城宗旨,cttb_traditions
宗,zōng,Principle; Ancestor,萬佛聖城宗旨,cttb_traditions
旨,zhǐ,Purpose; Decree,萬佛聖城宗旨,cttb_traditions
凍,dòng,Freeze; Freezing,萬佛聖城宗旨,cttb_traditions
死,sǐ,Death; Die,萬佛聖城宗旨,cttb_traditions
不,bù,Not; No,萬佛聖城宗旨,cttb_traditions
攀,pān,Climb; Grasp,萬佛聖城宗旨,cttb_traditions
緣,yuán,Conditions; Affinity,萬佛聖城宗旨,cttb_traditions
餓,è,Starving; Hungry,萬佛聖城宗旨,cttb_traditions
化,huà,Transform; Beg (alms),萬佛聖城宗旨,cttb_traditions
窮,qióng,Poor; Poverty,萬佛聖城宗旨,cttb_traditions
求,qiú,Seek; Ask for,萬佛聖城宗旨,cttb_traditions
隨,suí,Accord with; Follow,萬佛聖城宗旨,cttb_traditions
變,biàn,Change,萬佛聖城宗旨,cttb_traditions
抱,bào,Hold; Adhere,萬佛聖城宗旨,cttb_traditions
定,dìng,Firmly; Settle,萬佛聖城宗旨,cttb_traditions
我,wǒ,I; Me,萬佛聖城宗旨,cttb_traditions
們,men,(Plural marker),萬佛聖城宗旨,cttb_traditions
三,sān,Three,萬佛聖城宗旨,cttb_traditions
大,dà,Great; Big,萬佛聖城宗旨,cttb_traditions
捨,shě,Renounce; Give up,萬佛聖城宗旨,cttb_traditions
命,mìng,Life; Destiny,萬佛聖城宗旨,cttb_traditions
為,wèi,For; To do; As,萬佛聖城宗旨,cttb_traditions
事,shì,Matter; Work; Role,萬佛聖城宗旨,cttb_traditions
造,zào,Mold; Create,萬佛聖城宗旨,cttb_traditions
本,běn,Basic; Root,萬佛聖城宗旨,cttb_traditions
正,zhèng,Rectify; Proper,萬佛聖城宗旨,cttb_traditions
僧,sēng,Sangha; Monk,萬佛聖城宗旨,cttb_traditions
即,jí,Approach; Encounter,萬佛聖城宗旨,cttb_traditions
明,míng,Understand; Bright,萬佛聖城宗旨,cttb_traditions
理,lǐ,Principle; Reason,萬佛聖城宗旨,cttb_traditions
推,tuī,Push; Carry on,萬佛聖城宗旨,cttb_traditions
行,xíng,Act; Execute,萬佛聖城宗旨,cttb_traditions
祖,zǔ,Ancestor; Patriarch,萬佛聖城宗旨,cttb_traditions
師,shī,Teacher; Master,萬佛聖城宗旨,cttb_traditions
一,yī,One; Single,萬佛聖城宗旨,cttb_traditions
脈,mài,Pulse; Lineage,萬佛聖城宗旨,cttb_traditions
心,xīn,Mind; Heart,萬佛聖城宗旨,cttb_traditions
傳,chuán,Transmit; Transmission,萬佛聖城宗旨,cttb_traditions
問,wèn,Ask,萬佛聖城宗旨,cttb_traditions
自,zì,Self,萬佛聖城宗旨,cttb_traditions
己,jǐ,Self,萬佛聖城宗旨,cttb_traditions
是,shì,Is; Am; Are,萬佛聖城宗旨,cttb_traditions
爭,zhēng,Fight; Contend,萬佛聖城宗旨,cttb_traditions
貪,tān,Greedy; Greed,萬佛聖城宗旨,cttb_traditions
私,sī,Private; Selfish,萬佛聖城宗旨,cttb_traditions
利,lì,Profit; Advantage,萬佛聖城宗旨,cttb_traditions
打,dǎ,Strike; Do (action verb),萬佛聖城宗旨,cttb_traditions
妄,wàng,False; Absurd,萬佛聖城宗旨,cttb_traditions
語,yǔ,Language; Words,萬佛聖城宗旨,cttb_traditions
吃,chī,Eat,萬佛聖城宗旨,cttb_traditions
餐,cān,Meal,萬佛聖城宗旨,cttb_traditions
衣,yī,Clothing; Precept sash,萬佛聖城宗旨,cttb_traditions
離,lí,Leave; Depart,萬佛聖城宗旨,cttb_traditions
體,tǐ,Body,萬佛聖城宗旨,cttb_traditions
這,zhè,This; These,萬佛聖城宗旨,cttb_traditions
的,de,(Possessive particle),萬佛聖城宗旨,cttb_traditions
