include,chinese,pinyin,english_def,multichar,ch_tag,eng_tag
1,觀, guān, contemplating,False,心經,heart_sutra
1,深, shēn, deep,False,心經,heart_sutra
1,時, shí, when,False,心經,heart_sutra
1,照, zhào, illuminate,False,心經,heart_sutra
1, 見, jiàn, see; perceive,False,心經,heart_sutra
1, 五, wǔ, five,False,心經,heart_sutra
1,皆, jiē, all,False,心經,heart_sutra
1,空, kōng, empty; emptiness,False,心經,heart_sutra
1,度, dù, crossed beyond; save,False,心經,heart_sutra
0, 一, yī, one,False,心經,heart_sutra
0, 切, qiè, all; every,False,心經,heart_sutra
1, 苦, kǔ, suffering,False,心經,heart_sutra
1,厄, è, difficulty; distress,False,心經,heart_sutra
1,色, sè, form; sights,False,心經,heart_sutra
0, 不, bù, not,False,心經,heart_sutra
1,異, yì, differ; different,False,心經,heart_sutra
1,即, jí, itself is; identical to,False,心經,heart_sutra
0,是, shì, is; this,False,心經,heart_sutra
1,受, shòu, feelings; sensation,False,心經,heart_sutra
1,想, xiǎng, perceptions; thought,False,心經,heart_sutra
1,行, xíng, formations; action; practice,False,心經,heart_sutra
1,識, shí, consciousness,False,心經,heart_sutra
1,亦, yì, also,False,心經,heart_sutra
1,復, fù, again; moreover,False,心經,heart_sutra
1,諸, zhū, all; various,False,心經,heart_sutra
0, 法, fǎ, dharma; phenomena,False,心經,heart_sutra
1,相, xiàng, marked with; characteristic,False,心經,heart_sutra
1,生, shēng, arise; born,False,心經,heart_sutra
1,滅, miè, cease; extinction,False,心經,heart_sutra
1,垢, gòu, tainted; defiled,False,心經,heart_sutra
1,淨, jìng, pure,False,心經,heart_sutra
1,增, zēng, increase,False,心經,heart_sutra
1,減, jiǎn, decrease,False,心經,heart_sutra
1,眼, yǎn, eyes,False,心經,heart_sutra
0,耳, ěr, ears,False,心經,heart_sutra
1,鼻, bí, nose,False,心經,heart_sutra
1,舌, shé, tongue,False,心經,heart_sutra
1,身, shēn, body,False,心經,heart_sutra
1,意, yì, mind,False,心經,heart_sutra
1,聲, shēng, sounds,False,心經,heart_sutra
1,香, xiāng, smells,False,心經,heart_sutra
1,味, wèi, tastes,False,心經,heart_sutra
1,觸, chù, objects of touch,False,心經,heart_sutra
0, 界, jiè, field; realm,False,心經,heart_sutra
1,智, zhì, understanding; wisdom,False,心經,heart_sutra
1,得, dé, attain; gain,False,心經,heart_sutra
1,以, yǐ, because; by means of,False,心經,heart_sutra
1,故, gù, therefore; cause,False,心經,heart_sutra
1,依, yī, reliance on; depend,False,心經,heart_sutra
0, 心, xīn, mind; heart,False,心經,heart_sutra
1,有, yǒu, have; exist,False,心經,heart_sutra
1,盡, jìn, ending; exhaustion,False,心經,heart_sutra
0, 大, dà, great,False,心經,heart_sutra
1,神, shén, divine,False,心經,heart_sutra
1, 咒, zhòu, mantra,False,心經,heart_sutra
0, 明, míng, bright,False,心經,heart_sutra
1,能, néng, can; able to,False,心經,heart_sutra
1,除, chú, remove,False,心經,heart_sutra
1,說, shuō, say; speak,False,心經,heart_sutra
1,觀自在, guān zì zài, Avalokiteshvara; Guan Yin,True,心經,heart_sutra
1, 菩薩, pú sà, Bodhisattva,True,心經,heart_sutra
1,五蘊, wǔ yùn, five skandhas; aggregates,True,心經,heart_sutra
0, 一切, yī qiè, all; every,True,心經,heart_sutra
1,苦厄, kǔ è, suffering and difficulty,True,心經,heart_sutra
0,舍利子, shè lì zǐ, Shariputra,True,心經,heart_sutra
1,如是, rú shì, like this; thus,True,心經,heart_sutra
1,亦復, yì fù, also; again,True,心經,heart_sutra
