chinese,pinyin,english_def,ch_tag,eng_tag,frequency
禮,lǐ,worship; bow; ceremony,禮佛懺悔,88Bud,6
佛,fó,Buddha,禮佛懺悔,88Bud,108
大,dà,great; greatly,禮佛懺悔,88Bud,14
懺,chàn,repent; repentance,禮佛懺悔,88Bud,5
悔,huǐ,reform; repentance,禮佛懺悔,88Bud,5
文,wén,text; ceremony,禮佛懺悔,88Bud,1
慈,cí,kind; kindness,禮佛懺悔,88Bud,4
悲,bēi,compassionate; compassion,禮佛懺悔,88Bud,2
愍,mǐn,rescue; pity,禮佛懺悔,88Bud,1
眾,zhòng,assemblies; beings; host,禮佛懺悔,88Bud,14
生,shēng,beings; born; life,禮佛懺悔,88Bud,17
喜,xǐ,joyous; joy; rejoice,禮佛懺悔,88Bud,11
捨,shě,giving; relinquish,禮佛懺悔,88Bud,1
濟,jì,rescue; save,禮佛懺悔,88Bud,1
含,hán,conscious; contain,禮佛懺悔,88Bud,1
識,shí,beings; consciousness,禮佛懺悔,88Bud,1
相,xiàng,appearance; characteristics,禮佛懺悔,88Bud,2
好,hǎo,fine; good,禮佛懺悔,88Bud,1
光,guāng,light; radiance,禮佛懺悔,88Bud,28
明,míng,understanding; bright; radiance,禮佛懺悔,88Bud,5
以,yǐ,with; by; using,禮佛懺悔,88Bud,9
自,zì,self; self-mastery,禮佛懺悔,88Bud,8
嚴,yán,adorned,禮佛懺悔,88Bud,6
等,děng,and so forth; equal; assemblies,禮佛懺悔,88Bud,4
至,zhì,utmost; till; to,禮佛懺悔,88Bud,4
心,xīn,sincerity; mind; heart,禮佛懺悔,88Bud,2
歸,guī,return; take refuge,禮佛懺悔,88Bud,1
命,mìng,life; lives,禮佛懺悔,88Bud,2
無,wú,without; no; namo (in 南無),禮佛懺悔,88Bud,117
皈,guī,take refuge,禮佛懺悔,88Bud,4
依,yī,with; rely on,禮佛懺悔,88Bud,3
十,shí,ten,禮佛懺悔,88Bud,7
方,fāng,directions,禮佛懺悔,88Bud,7
盡,jìn,ends; exhaust; entirely,禮佛懺悔,88Bud,12
虛,xū,empty,禮佛懺悔,88Bud,5
空,kōng,space; empty,禮佛懺悔,88Bud,6
界,jiè,realm; world,禮佛懺悔,88Bud,10
一,yī,one; all; every,禮佛懺悔,88Bud,26
切,qiè,all; every,禮佛懺悔,88Bud,19
諸,zhū,all; every; various,禮佛懺悔,88Bud,19
尊,zūn,venerable; honored,禮佛懺悔,88Bud,9
法,fǎ,Dharma,禮佛懺悔,88Bud,12
賢,xián,worthy; sage; Samantabhadra,禮佛懺悔,88Bud,7
聖,shèng,worthies; sages; holy,禮佛懺悔,88Bud,1
僧,sēng,Sangha,禮佛懺悔,88Bud,4
如,rú,thus; like; as,禮佛懺悔,88Bud,17
來,lái,come; future,禮佛懺悔,88Bud,10
應,yīng,worthy,禮佛懺悔,88Bud,2
供,gòng,offerings; offer,禮佛懺悔,88Bud,5
正,zhèng,proper; right; correct,禮佛懺悔,88Bud,1
遍,biàn,universal; everywhere,禮佛懺悔,88Bud,4
知,zhī,know; knowledge,禮佛懺悔,88Bud,2
行,xíng,conduct; practice; travel,禮佛懺悔,88Bud,9
足,zú,perfect; sufficient,禮佛懺悔,88Bud,1
善,shàn,skillful; wholesome; good,禮佛懺悔,88Bud,14
逝,shì,leaving; departed,禮佛懺悔,88Bud,1
世,shì,world,禮佛懺悔,88Bud,17
間,jiān,world (mundane); between,禮佛懺悔,88Bud,4
解,jiě,liberation; understand,禮佛懺悔,88Bud,2
上,shàng,unsurpassed; supreme; above,禮佛懺悔,88Bud,7
士,shì,knights; scholar,禮佛懺悔,88Bud,1
調,tiáo,taming; regulate,禮佛懺悔,88Bud,1
御,yù,taming; control,禮佛懺悔,88Bud,1
丈,zhàng,hero (in 丈夫),禮佛懺悔,88Bud,1
夫,fū,hero,禮佛懺悔,88Bud,1
天,tiān,gods; heaven; deva,禮佛懺悔,88Bud,2
人,rén,people; men; human,禮佛懺悔,88Bud,2
師,shī,teacher,禮佛懺悔,88Bud,3
普,pǔ,universal; everywhere,禮佛懺悔,88Bud,13
淨,jìng,pure; purified,禮佛懺悔,88Bud,7
香,xiāng,fragrance; incense,禮佛懺悔,88Bud,5
幢,chuáng,banner,禮佛懺悔,88Bud,5
歡,huān,happiness; joy,禮佛懺悔,88Bud,2
藏,zàng,treasury; store,禮佛懺悔,88Bud,5
寶,bǎo,precious; jewelled,禮佛懺悔,88Bud,9
積,jī,accumulation,禮佛懺悔,88Bud,1
樂,lè,delight; joy; bliss,禮佛懺悔,88Bud,3
見,jiàn,see; view; delusion,禮佛懺悔,88Bud,6
精,jīng,vigor; essential,禮佛懺悔,88Bud,4
進,jìn,vigor; advance; progress,禮佛懺悔,88Bud,4
燈,dēng,lamp; lamps; light,禮佛懺悔,88Bud,5
慧,huì,wisdom,禮佛懺悔,88Bud,6
炬,jù,torches; torch,禮佛懺悔,88Bud,1
照,zhào,shining; illuminate,禮佛懺悔,88Bud,2
海,hǎi,sea; ocean,禮佛懺悔,88Bud,7
德,dé,virtue; merit,禮佛懺悔,88Bud,17
金,jīn,golden; vajra,禮佛懺悔,88Bud,5
剛,gāng,vajra; firm; diamond,禮佛懺悔,88Bud,2
牢,láo,firm; strong,禮佛懺悔,88Bud,1
強,qiáng,firm; strong; strength,禮佛懺悔,88Bud,2
散,sàn,shedding; scatter,禮佛懺悔,88Bud,1
勇,yǒng,courage; courageous,禮佛懺悔,88Bud,2
猛,měng,courage; fierce,禮佛懺悔,88Bud,1
力,lì,strength; power,禮佛懺悔,88Bud,6
王,wáng,king,禮佛懺悔,88Bud,19
窟,kū,cave,禮佛懺悔,88Bud,1
莊,zhuāng,adorned,禮佛懺悔,88Bud,5
勝,shèng,victory; victorious; supreme,禮佛懺悔,88Bud,14
首,shǒu,leader; head,禮佛懺悔,88Bud,1
意,yì,mind; intention,禮佛懺悔,88Bud,4
廣,guǎng,vast; wide; widely,禮佛懺悔,88Bud,4
華,huā,flowers; flower,禮佛懺悔,88Bud,9
蓋,gài,canopy; covering,禮佛懺悔,88Bud,2
在,zài,mastery (in 自在); dwell; present,禮佛懺悔,88Bud,6
現,xiàn,appearing; manifest; present,禮佛懺悔,88Bud,6
