chinese,pinyin,english_def,ch_tag,eng_tag
佛,fó,Buddha,臨齋儀,meal_offering
前,qián,Before,臨齋儀,meal_offering
大,dà,Great,臨齋儀,meal_offering
供,gòng,Offering; Offer,臨齋儀,meal_offering
南,nā,Namo (Phonetic),臨齋儀,meal_offering
無,mó,Namo (Phonetic); Without,臨齋儀,meal_offering
靈,líng,Magic; Spiritual,臨齋儀,meal_offering
山,shān,Mountain,臨齋儀,meal_offering
會,huì,Assembly,臨齋儀,meal_offering
上,shàng,Above; In (the assembly),臨齋儀,meal_offering
菩,pú,Bodhi (Phonetic),臨齋儀,meal_offering
薩,sà,Sattva (Phonetic),臨齋儀,meal_offering
常,cháng,Eternally; Constant,臨齋儀,meal_offering
住,zhù,Abiding; Dwell,臨齋儀,meal_offering
十,shí,Ten,臨齋儀,meal_offering
方,fāng,Directions,臨齋儀,meal_offering
法,fǎ,Dharma,臨齋儀,meal_offering
僧,sēng,Sangha,臨齋儀,meal_offering
本,běn,Fundamental; Root,臨齋儀,meal_offering
師,shī,Teacher,臨齋儀,meal_offering
釋,shì,Shakya (Phonetic),臨齋儀,meal_offering
迦,jiā,Muni (Phonetic),臨齋儀,meal_offering
牟,móu,Muni (Phonetic),臨齋儀,meal_offering
尼,ní,Muni (Phonetic),臨齋儀,meal_offering
消,xiāo,Quelling; Eliminate,臨齋儀,meal_offering
災,zāi,Disasters,臨齋儀,meal_offering
延,yán,Lengthening; Extend,臨齋儀,meal_offering
壽,shòu,Life; Lifespan,臨齋儀,meal_offering
藥,yào,Medicine,臨齋儀,meal_offering
極,jí,Ultimate; Extreme,臨齋儀,meal_offering
樂,lè,Bliss; Happiness,臨齋儀,meal_offering
世,shì,World; Time,臨齋儀,meal_offering
界,jiè,Realm; Boundary,臨齋儀,meal_offering
阿,ā,A (Phonetic),臨齋儀,meal_offering
彌,mí,Mi (Phonetic),臨齋儀,meal_offering
陀,tuó,Ta (Phonetic),臨齋儀,meal_offering
當,dāng,Future; Ought to,臨齋儀,meal_offering
來,lái,Come,臨齋儀,meal_offering
下,xià,Down; Below,臨齋儀,meal_offering
生,shēng,Born; Living,臨齋儀,meal_offering
勒,lè,Maitreya (Phonetic),臨齋儀,meal_offering
尊,zūn,Honored,臨齋儀,meal_offering
三,sān,Three,臨齋儀,meal_offering
一,yī,One; All,臨齋儀,meal_offering
切,qiè,All (in 一切); Cut,臨齋儀,meal_offering
諸,zhū,All; Various,臨齋儀,meal_offering
智,zhì,Wisdom,臨齋儀,meal_offering
文,wén,Manju (Phonetic),臨齋儀,meal_offering
殊,shū,Shri (Phonetic),臨齋儀,meal_offering
利,lì,Shri (Phonetic); Benefit,臨齋儀,meal_offering
行,hèng,Conduct; Practice,臨齋儀,meal_offering
普,pǔ,Universal,臨齋儀,meal_offering
賢,xián,Worthy,臨齋儀,meal_offering
願,yuàn,Vow; Wish,臨齋儀,meal_offering
地,dì,Earth,臨齋儀,meal_offering
藏,zàng,Treasury,臨齋儀,meal_offering
王,wáng,King,臨齋儀,meal_offering
悲,bēi,Compassion,臨齋儀,meal_offering
觀,guān,Observe; Contemplate,臨齋儀,meal_offering
音,yīn,Sound,臨齋儀,meal_offering
勢,shì,Strength; Power,臨齋儀,meal_offering
至,zhì,Arrive; Reach,臨齋儀,meal_offering
變,biàn,Transformation,臨齋儀,meal_offering
食,shí,Food; Meal,臨齋儀,meal_offering
真,zhēn,TRUE,臨齋儀,meal_offering
言,yán,Words,臨齋儀,meal_offering
甘,gān,Sweet,臨齋儀,meal_offering
露,lù,Dew,臨齋儀,meal_offering
水,shuǐ,Water,臨齋儀,meal_offering
此,cǐ,This,臨齋儀,meal_offering
色,sè,Color; Form,臨齋儀,meal_offering
香,xiāng,Scent,臨齋儀,meal_offering
味,wèi,Flavor,臨齋儀,meal_offering
中,zhōng,Between; Middle,臨齋儀,meal_offering
奉,fèng,Offer; Revere,臨齋儀,meal_offering
聖,shèng,Sage,臨齋儀,meal_offering
及,jí,And; Reach,臨齋儀,meal_offering
六,liù,Six,臨齋儀,meal_offering
道,dào,Path; Way,臨齋儀,meal_offering
品,pǐn,Kinds; Grades,臨齋儀,meal_offering
等,děng,Equally; Wait,臨齋儀,meal_offering
施,shī,Bestow; Give,臨齋儀,meal_offering
差,cī,Distinction; Difference,臨齋儀,meal_offering
別,bié,Distinction; Separate,臨齋儀,meal_offering
隨,suí,According to,臨齋儀,meal_offering
皆,jiē,All,臨齋儀,meal_offering
飽,bǎo,Satiated; Full,臨齋儀,meal_offering
滿,mǎn,Satisfied; Full,臨齋儀,meal_offering
讚,zàn,Praise,臨齋儀,meal_offering
與,yǔ,And; With,臨齋儀,meal_offering
咒,zhòu,Mantra,臨齋儀,meal_offering
天,tiān,Heaven,臨齋儀,meal_offering
廚,chú,Kitchen,臨齋儀,meal_offering
妙,miào,Wondrous,臨齋儀,meal_offering
禪,chán,Dhyana; Zen,臨齋儀,meal_offering
悅,yuè,Bliss; Joy,臨齋儀,meal_offering
酥,sū,Rare (delicacy),臨齋儀,meal_offering
酡,tuó,Delicacy,臨齋儀,meal_offering
摩,mó,Maha (Phonetic),臨齋儀,meal_offering
訶,hē,Maha (Phonetic),臨齋儀,meal_offering
般,bō,Prajna (Phonetic),臨齋儀,meal_offering
若,rě,Prajna (Phonetic),臨齋儀,meal_offering
波,bō,Paramita (Phonetic),臨齋儀,meal_offering
羅,luó,Paramita (Phonetic),臨齋儀,meal_offering
蜜,mì,Paramita (Phonetic),臨齋儀,meal_offering
臨,lín,Approach,臨齋儀,meal_offering
齋,zhāi,Meal; Vegetarian,臨齋儀,meal_offering
儀,yí,Ceremony; Chant,臨齋儀,meal_offering
養,yǎng,Render; Nourish,臨齋儀,meal_offering
清,qīng,Pure,臨齋儀,meal_offering
淨,jìng,Pure,臨齋儀,meal_offering
身,shēn,Body,臨齋儀,meal_offering
毗,pí,Vairo (Phonetic),臨齋儀,meal_offering
盧,lú,Chana/Locana (Phonetic),臨齋儀,meal_offering
遮,zhē,Chana (Phonetic),臨齋儀,meal_offering
那,nà,Chana/Locana (Phonetic),臨齋儀,meal_offering
圓,yuán,Perfect,臨齋儀,meal_offering
報,bào,Reward,臨齋儀,meal_offering
舍,shè,Shya (Phonetic),臨齋儀,meal_offering
千,qiān,Thousand,臨齋儀,meal_offering
百,bǎi,Hundred,臨齋儀,meal_offering
億,yì,Myriad; Hundred million,臨齋儀,meal_offering
化,huà,Transformation,臨齋儀,meal_offering
維,wéi,Leader (Phonetic),臨齋儀,meal_offering
呼,hū,Says; Call,臨齋儀,meal_offering
制,zhì,Told; Regulate,臨齋儀,meal_offering
比,bǐ,Bhik (Phonetic),臨齋儀,meal_offering
丘,qiū,Shu (Phonetic),臨齋儀,meal_offering
存,cún,Observe; Keep,臨齋儀,meal_offering
五,wǔ,Five,臨齋儀,meal_offering
散,sǎn,Scattered,臨齋儀,meal_offering
心,xīn,Mind,臨齋儀,meal_offering
雜,zá,Confused; Mixed,臨齋儀,meal_offering
話,huà,Talk,臨齋儀,meal_offering
信,xìn,Faithful,臨齋儀,meal_offering
難,nán,Hard,臨齋儀,meal_offering
眾,zhòng,Assembly; Multitude,臨齋儀,meal_offering
聞,wén,Hear; Sound,臨齋儀,meal_offering
磬,qìng,Bell,臨齋儀,meal_offering
聲,shēng,Sound,臨齋儀,meal_offering
各,gè,Each,臨齋儀,meal_offering
正,zhèng,Properly,臨齋儀,meal_offering
念,niàn,Mindful; Recollection,臨齋儀,meal_offering
家,jiā,Everyone (in 大家),臨齋儀,meal_offering
齊,qí,Together,臨齋儀,meal_offering
斷,duàn,Cut off,臨齋儀,meal_offering
惡,è,Evil,臨齋儀,meal_offering
修,xiū,Cultivate,臨齋儀,meal_offering
善,shàn,Good,臨齋儀,meal_offering
度,dù,Save,臨齋儀,meal_offering
計,jì,Reflect; Calculate,臨齋儀,meal_offering
功,gōng,Work; Merit,臨齋儀,meal_offering
多,duō,Much; Many,臨齋儀,meal_offering
少,shǎo,Little; Few,臨齋儀,meal_offering
量,liàng,Reflect; Measure,臨齋儀,meal_offering
彼,bǐ,That (the faithful),臨齋儀,meal_offering
處,chù,Place,臨齋儀,meal_offering
二,èr,Two,臨齋儀,meal_offering
忖,cǔn,Reflect,臨齋儀,meal_offering
己,jǐ,My; Self,臨齋儀,meal_offering
德,dé,Conduct; Virtue,臨齋儀,meal_offering
缺,quē,Deficient; Lack,臨齋儀,meal_offering
應,yìng,Earned; Ought,臨齋儀,meal_offering
結,jié,End; Conclude,臨齋儀,meal_offering
所,suǒ,That which,臨齋儀,meal_offering
謂,wèi,Called; Say,臨齋儀,meal_offering
布,bù,Practice; Spread,臨齋儀,meal_offering
者,zhě,They who,臨齋儀,meal_offering
必,bì,Certainly,臨齋儀,meal_offering
獲,huò,Obtain,臨齋儀,meal_offering
其,qí,Their,臨齋儀,meal_offering
益,yì,Reward; Benefit,臨齋儀,meal_offering
若,ruò,If,臨齋儀,meal_offering
為,wèi,For,臨齋儀,meal_offering
故,gù,Cause; Reason,臨齋儀,meal_offering
後,hòu,Later,臨齋儀,meal_offering
得,dé,Find; Attain,臨齋儀,meal_offering
安,ān,Peace,臨齋儀,meal_offering
飯,fàn,Meal,臨齋儀,meal_offering
已,yǐ,Already,臨齋儀,meal_offering
訖,qì,Concluded,臨齋儀,meal_offering
作,zuò,Do,臨齋儀,meal_offering
辦,bàn,Success; Manage,臨齋儀,meal_offering
具,jù,Perfect; Complete,臨齋儀,meal_offering
佛前,fó qián,Before the Buddhas,臨齋儀,meal_offering
大供,dà gòng,Great offering,臨齋儀,meal_offering
南無,nā mó,Namo,臨齋儀,meal_offering
靈山,líng shān,Magic Mountain,臨齋儀,meal_offering
會上,huì shàng,In the assembly,臨齋儀,meal_offering
菩薩,pú sà,Bodhisattva,臨齋儀,meal_offering
常住,cháng zhù,Eternally abiding,臨齋儀,meal_offering
十方,shí fāng,Ten directions,臨齋儀,meal_offering
本師,běn shī,Fundamental teacher,臨齋儀,meal_offering
消災,xiāo zāi,Quelling disasters,臨齋儀,meal_offering
延壽,yán shòu,Lengthening life,臨齋儀,meal_offering
極樂,jí lè,Ultimate bliss,臨齋儀,meal_offering
世界,shì jiè,World,臨齋儀,meal_offering
當來,dāng lái,Future,臨齋儀,meal_offering
下生,xià shēng,Descend to be born,臨齋儀,meal_offering
三世,sān shì,Three times,臨齋儀,meal_offering
一切,yī qiè,All,臨齋儀,meal_offering
諸佛,zhū fó,All Buddhas,臨齋儀,meal_offering
大智,dà zhì,Great wisdom,臨齋儀,meal_offering
大行,dà hèng,Great conduct,臨齋儀,meal_offering
普賢,pǔ xián,Universal Worthy,臨齋儀,meal_offering
大願,dà yuàn,Great vow,臨齋儀,meal_offering
地藏,dì zàng,Earth Treasury,臨齋儀,meal_offering
大悲,dà bēi,Great compassion,臨齋儀,meal_offering
觀音,guān yīn,Guan Yin,臨齋儀,meal_offering
大勢,dà shì,Great strength,臨齋儀,meal_offering
變食,biàn shí,Transformation of food,臨齋儀,meal_offering
真言,zhēn yán,True words,臨齋儀,meal_offering
甘露,gān lù,Sweet dew,臨齋儀,meal_offering
上供,shàng gòng,Offered above,臨齋儀,meal_offering
諸聖,zhū shèng,Every sage,臨齋儀,meal_offering
六道,liù dào,Six paths; Turning wheel,臨齋儀,meal_offering
無差,wú cī,Without distinction,臨齋儀,meal_offering
差別,cī bié,Distinction,臨齋儀,meal_offering
飽滿,bǎo mǎn,Satisfied; Full,臨齋儀,meal_offering
天廚,tiān chú,Heavens' kitchens,臨齋儀,meal_offering
妙供,miào gòng,Wondrous offerings,臨齋儀,meal_offering
禪悅,chán yuè,Bliss of dhyana,臨齋儀,meal_offering
摩訶,mó hē,Maha,臨齋儀,meal_offering
般若,bō rě,Prajna,臨齋儀,meal_offering
臨齋,lín zhāi,Meal offering,臨齋儀,meal_offering
供養,gòng yǎng,Render offerings,臨齋儀,meal_offering
清淨,qīng jìng,Pure,臨齋儀,meal_offering
法身,fǎ shēn,Dharma body,臨齋儀,meal_offering
圓滿,yuán mǎn,Perfect,臨齋儀,meal_offering
報身,bào shēn,Reward body,臨齋儀,meal_offering
化身,huà shēn,Transformation body,臨齋儀,meal_offering
諸尊,zhū zūn,Honored ones,臨齋儀,meal_offering
維那,wéi nuó,Leader (Cantor),臨齋儀,meal_offering
比丘,bǐ qiū,Bhikshus,臨齋儀,meal_offering
散心,sǎn xīn,Scattered mind,臨齋儀,meal_offering
雜話,zá huà,Confused talk,臨齋儀,meal_offering
信施,xìn shī,Offerings of the faithful,臨齋儀,meal_offering
大眾,dà zhòng,Great assembly,臨齋儀,meal_offering
磬聲,qìng shēng,Sound of the bell,臨齋儀,meal_offering
正念,zhèng niàn,Properly mindful,臨齋儀,meal_offering
大家,dà jiā,Everyone,臨齋儀,meal_offering
齊念,qí niàn,Recite together,臨齋儀,meal_offering
三念,sān niàn,Three recollections,臨齋儀,meal_offering
五觀,wǔ guān,Five contemplations,臨齋儀,meal_offering
眾生,zhòng shēng,Living beings,臨齋儀,meal_offering
多少,duō shǎo,Work and care,臨齋儀,meal_offering
來處,lái chù,Fruit; Origin,臨齋儀,meal_offering
德行,dé hèng,Conduct,臨齋儀,meal_offering
結齋,jié zhāi,End the meal,臨齋儀,meal_offering
布施,bù shī,Making offerings,臨齋儀,meal_offering
利益,lì yì,Reward; Benefit,臨齋儀,meal_offering
安樂,ān lè,Peace and happiness,臨齋儀,meal_offering
飯食,fàn shí,Meal,臨齋儀,meal_offering
佛法,fó fǎ,Buddhadharmas,臨齋儀,meal_offering
藥師佛,yào shī fó,Medicine Master Buddha,臨齋儀,meal_offering
阿彌陀,ā mí tuó,Amitabha,臨齋儀,meal_offering
觀世音,guān shì yīn,Guan Shi Yin,臨齋儀,meal_offering
波羅蜜,bō luó mì,Paramita,臨齋儀,meal_offering
摩訶薩,mó hē sà,Mahasattva,臨齋儀,meal_offering
千百億,qiān bǎi yì,Myriad; Hundreds of millions,臨齋儀,meal_offering
釋迦牟尼,shì jiā móu ní,Shakyamuni,臨齋儀,meal_offering
阿彌陀佛,ā mí tuó fó,Amitabha Buddha,臨齋儀,meal_offering
彌勒尊佛,mí lè zūn fó,Maitreya Honored Future Buddha,臨齋儀,meal_offering
文殊師利,wén shū shī lì,Manjusri,臨齋儀,meal_offering
毗盧遮那,pí lú zhē nà,Vairochana,臨齋儀,meal_offering
盧舍那佛,lú shè nà fó,Nishyanda Buddha,臨齋儀,meal_offering
十方三世一切諸佛,shí fāng sān shì yī qiè zhū fó,All Buddhas of the ten quarters and three times,臨齋儀,meal_offering
願斷一切惡,yuàn duàn yī qiè è,I vow to cut off all evil,臨齋儀,meal_offering
願修一切善,yuàn xiū yī qiè shàn,I vow to cultivate all good,臨齋儀,meal_offering
誓度一切眾生,shì dù yī qiè zhòng shēng,I vow to save all living beings,臨齋儀,meal_offering
