chinese,pinyin,english_def,ch_tag,eng_tag
住,zhù,abiding,shurangama,楞嚴咒
愛,ài,admiration,shurangama,楞嚴咒
皆,jiē,all,shurangama,楞嚴咒
有,yǒu,appears; exists,shurangama,楞嚴咒
為,wéi,as; to be; for,shurangama,楞嚴咒
請,qǐng,ask,shurangama,楞嚴咒
會,huì,assembly,shurangama,楞嚴咒
得,dé,attain,shurangama,楞嚴咒
登,dēng,attain,shurangama,楞嚴咒
亡,wáng,away,shurangama,楞嚴咒
成,chéng,become; as; accomplished,shurangama,楞嚴咒
生,shēng,being,shurangama,楞嚴咒
眾,zhòng,beings; multitude,shurangama,楞嚴咒
慈,cí,benevolence,shurangama,楞嚴咒
身,shēn,body,shurangama,楞嚴咒
兼,jiān,both,shurangama,楞嚴咒
佛,fó,Buddha(s),shurangama,楞嚴咒
令,lìng,cause,shurangama,楞嚴咒
證,zhèng,certify,shurangama,楞嚴咒
來,lái,Come,shurangama,楞嚴咒
悲,bēi,compassion,shurangama,楞嚴咒
可,kě,could,shurangama,楞嚴咒
億,yì,countless; hundred million,shurangama,楞嚴咒
雄,xióng,courage,shurangama,楞嚴咒
湛,zhàn,deep,shurangama,楞嚴咒
深,shēn,deep,shurangama,楞嚴咒
法,fǎ,dharma,shurangama,楞嚴咒
方,fāng,directions,shurangama,楞嚴咒
除,chú,dispel,shurangama,楞嚴咒
惑,huò,doubts,shurangama,楞嚴咒
明,míng,effulgence,shurangama,楞嚴咒
放,fàng,emitted,shurangama,楞嚴咒
覺,jué,enlightenment,shurangama,楞嚴咒
入,rù,enter,shurangama,楞嚴咒
常,cháng,eternally,shurangama,楞嚴咒
偏,biàn,everywhere; pervaded,shurangama,楞嚴咒
惡,è,evil,shurangama,楞嚴咒
銷,xiāo,Extinguishing,shurangama,楞嚴咒
畏,wèi,fear,shurangama,楞嚴咒
細,xì,fine,shurangama,楞嚴咒
先,xiān,first,shurangama,楞嚴咒
五,wǔ,five,shurangama,楞嚴咒
肉,ròu,flesh,shurangama,楞嚴咒
華,huā,flower,shurangama,楞嚴咒
從,cóng,from,shurangama,楞嚴咒
果,guǒ,fruit; the way,shurangama,楞嚴咒
獲,huò,gained,shurangama,楞嚴咒
