chinese,pinyin,english_def,ch_tag,eng_tag
大,dà,Great,大回向,GreatTransference
回,huí,Transference,大回向,GreatTransference
向,xiàng,Merit,大回向,GreatTransference
跪,guì,Kneel,大回向,GreatTransference
念,niàn,recite,大回向,GreatTransference
弟,dì,disciples,大回向,GreatTransference
子,zǐ,disciples,大回向,GreatTransference
眾,zhòng,assembly; we,大回向,GreatTransference
等,děng,class; we (plural),大回向,GreatTransference
現,xiàn,now,大回向,GreatTransference
是,shì,are,大回向,GreatTransference
生,shēng,birth,大回向,GreatTransference
死,sǐ,death,大回向,GreatTransference
凡,fán,common,大回向,GreatTransference
夫,fū,people,大回向,GreatTransference
罪,zuì,offenses,大回向,GreatTransference
障,zhàng,karmic obstacles,大回向,GreatTransference
深,shēn,deep,大回向,GreatTransference
重,zhòng,heavy,大回向,GreatTransference
輪,lún,revolving,大回向,GreatTransference
迴,huí,revolving,大回向,GreatTransference
六,liù,six,大回向,GreatTransference
道,dào,destinies,大回向,GreatTransference
苦,kǔ,pain; suffer,大回向,GreatTransference
不,bù,not,大回向,GreatTransference
可,kě,-able,大回向,GreatTransference
言,yán,speak,大回向,GreatTransference
今,jīn,now,大回向,GreatTransference
遇,yù,have met,大回向,GreatTransference
知,zhī,knowing,大回向,GreatTransference
識,shí,teacher,大回向,GreatTransference
得,dé,have; attain,大回向,GreatTransference
聞,wén,heard,大回向,GreatTransference
彌,mí,Amitabha,大回向,GreatTransference
陀,tuó,Amitabha,大回向,GreatTransference
名,míng,name,大回向,GreatTransference
號,hào,name,大回向,GreatTransference
本,běn,his (fundamental),大回向,GreatTransference
願,yuàn,vows; hope,大回向,GreatTransference
功,gōng,merit,大回向,GreatTransference
德,dé,merit; virtue,大回向,GreatTransference
一,yī,single,大回向,GreatTransference
心,xīn,mind,大回向,GreatTransference
稱,chēng,reciting,大回向,GreatTransference
求,qiú,seeking,大回向,GreatTransference
往,wǎng,rebirth,大回向,GreatTransference
佛,fó,Buddha,大回向,GreatTransference
慈,cí,kindly,大回向,GreatTransference
悲,bēi,compassion,大回向,GreatTransference
捨,shě,renounce,大回向,GreatTransference
哀,āi,pity,大回向,GreatTransference
憐,lián,pity,大回向,GreatTransference
攝,shè,gather,大回向,GreatTransference
受,shòu,gather in,大回向,GreatTransference
識,shí,recognize,大回向,GreatTransference
身,shēn,body,大回向,GreatTransference
相,xiàng,hallmarks,大回向,GreatTransference
好,hǎo,hallmarks,大回向,GreatTransference
光,guāng,light,大回向,GreatTransference
明,míng,light,大回向,GreatTransference
示,shì,manifest,大回向,GreatTransference
令,lìng,let; cause,大回向,GreatTransference
我,wǒ,us,大回向,GreatTransference
見,jiàn,see,大回向,GreatTransference
及,jí,and,大回向,GreatTransference
觀,guān,Guan,大回向,GreatTransference
音,yīn,yin,大回向,GreatTransference
勢,shì,Strength,大回向,GreatTransference
至,zhì,Strength,大回向,GreatTransference
諸,zhū,all,大回向,GreatTransference
菩,pú,bodhi,大回向,GreatTransference
薩,sà,sattva,大回向,GreatTransference
彼,bǐ,that,大回向,GreatTransference
世,shì,world; land,大回向,GreatTransference
界,jiè,world; land,大回向,GreatTransference
中,zhōng,in,大回向,GreatTransference
清,qīng,pure,大回向,GreatTransference
淨,jìng,pure,大回向,GreatTransference
莊,zhuāng,adornment,大回向,GreatTransference
嚴,yán,adornment,大回向,GreatTransference
妙,miào,wonderful,大回向,GreatTransference
了,liǎo,clearly; at last,大回向,GreatTransference
繞,rào,circumambulate,大回向,GreatTransference
回向,huí xiàng,Transference of Merit,大回向,GreatTransference
跪念,guì niàn,Kneel and recite,大回向,GreatTransference
弟子,dì zǐ,disciples,大回向,GreatTransference
眾等,zhòng děng,we (assembly),大回向,GreatTransference
現是,xiàn shì,are now,大回向,GreatTransference
生死,shēng sǐ,birth and death,大回向,GreatTransference
凡夫,fán fū,common people,大回向,GreatTransference
罪障,zuì zhàng,offenses,大回向,GreatTransference
深重,shēn zhòng,deep and heavy,大回向,GreatTransference
輪迴,lún huí,revolving,大回向,GreatTransference
六道,liù dào,six destinies,大回向,GreatTransference
不可,bù kě,un-able,大回向,GreatTransference
今遇,jīn yù,now have met,大回向,GreatTransference
知識,zhī shí,good teacher,大回向,GreatTransference
得聞,dé wén,have heard,大回向,GreatTransference
彌陀,mí tuó,Amitabha's,大回向,GreatTransference
名號,míng hào,name,大回向,GreatTransference
本願,běn yuàn,merit of vows,大回向,GreatTransference
功德,gōng dé,merit,大回向,GreatTransference
一心,yī xīn,singlemindedly,大回向,GreatTransference
稱念,chēng niàn,reciting his name,大回向,GreatTransference
求願,qiú yuàn,seeking,大回向,GreatTransference
往生,wǎng shēng,rebirth,大回向,GreatTransference
願佛,yuàn fó,we hope the Buddha,大回向,GreatTransference
慈悲,cí bēi,kindly,大回向,GreatTransference
不捨,bù shě,not renounce,大回向,GreatTransference
哀憐,āi lián,pity,大回向,GreatTransference
攝受,shè shòu,gather us in,大回向,GreatTransference
不識,bù shí,do not recognize,大回向,GreatTransference
佛身,fó shēn,his body,大回向,GreatTransference
相好,xiàng hǎo,hallmarks,大回向,GreatTransference
光明,guāng míng,light,大回向,GreatTransference
示現,shì xiàn,manifest,大回向,GreatTransference
令我,lìng wǒ,let us,大回向,GreatTransference
得見,dé jiàn,see,大回向,GreatTransference
及見,jí jiàn,and see,大回向,GreatTransference
觀音,guān yīn,Guanyin,大回向,GreatTransference
勢至,shì zhì,Great Strength,大回向,GreatTransference
世界,shì jiè,land,大回向,GreatTransference
清淨,qīng jìng,pure,大回向,GreatTransference
莊嚴,zhuāng yán,adornment,大回向,GreatTransference
妙相,miào xiàng,characteristics,大回向,GreatTransference
了了,liǎo liǎo,at last; clearly,大回向,GreatTransference
繞念,rào niàn,circumambulate reciting,大回向,GreatTransference
大回向,dà huí xiàng,Great Transference of Merit,大回向,GreatTransference
不可言,bù kě yán,unspeakable,大回向,GreatTransference
菩薩眾,pú sà zhòng,bodhisattvas,大回向,GreatTransference
世界中,shì jiè zhōng,in that land,大回向,GreatTransference
妙相等,miào xiàng děng,hallmarks and characteristics,大回向,GreatTransference
阿彌陀佛,ā mí tuó fó,Amitabha (Buddha),大回向,GreatTransference
願,yuàn,may we,大回向,GreatTransference
我,wǒ,we; us; I; my,大回向,GreatTransference
臨,lín,comes,大回向,GreatTransference
終,zhōng,death,大回向,GreatTransference
無,wú,no,大回向,GreatTransference
障,zhàng,obstructions,大回向,GreatTransference
礙,ài,obstructions,大回向,GreatTransference
遠,yuǎn,come to,大回向,GreatTransference
相,xiāng,welcome,大回向,GreatTransference
迎,yíng,welcome,大回向,GreatTransference
觀,guān,Guan,大回向,GreatTransference
音,yīn,yin,大回向,GreatTransference
甘,gān,sweet,大回向,GreatTransference
露,lù,dew,大回向,GreatTransference
灑,sǎ,sprinkle,大回向,GreatTransference
吾,wú,our,大回向,GreatTransference
頭,tóu,heads,大回向,GreatTransference
勢,shì,Strength,大回向,GreatTransference
至,zhì,Great,大回向,GreatTransference
金,jīn,golden,大回向,GreatTransference
臺,tái,dias,大回向,GreatTransference
安,ān,place,大回向,GreatTransference
足,zú,feet,大回向,GreatTransference
一,yī,an,大回向,GreatTransference
剎,chà,instant,大回向,GreatTransference
那,nà,instant,大回向,GreatTransference
中,zhōng,in,大回向,GreatTransference
離,lí,leave,大回向,GreatTransference
五,wǔ,five,大回向,GreatTransference
濁,zhuó,turbidities,大回向,GreatTransference
屈,qū,arrive,大回向,GreatTransference
伸,shēn,arrive,大回向,GreatTransference
臂,bèi,arrive,大回向,GreatTransference
頃,qǐng,arrive,大回向,GreatTransference
