chinese,pinyin,english_def,ch_tag,eng_tag
祖,zǔ,Patriarchs,禮祖,purelandPatriarchs
頂,dǐng,bow to,禮祖,purelandPatriarchs
西,xī,west,禮祖,purelandPatriarchs
天,tiān,heaven; west,禮祖,purelandPatriarchs
東,dōng,east,禮祖,purelandPatriarchs
土,dù,east,禮祖,purelandPatriarchs
歷,lì,generations,禮祖,purelandPatriarchs
代,dài,generations,禮祖,purelandPatriarchs
師,shī,masters,禮祖,purelandPatriarchs
下,xià,world,禮祖,purelandPatriarchs
宏,hóng,propagate,禮祖,purelandPatriarchs
宗,zōng,schools,禮祖,purelandPatriarchs
演,yǎn,proclaim,禮祖,purelandPatriarchs
教,jiào,teachings,禮祖,purelandPatriarchs
諸,zhū,all,禮祖,purelandPatriarchs
大,dà,great,禮祖,purelandPatriarchs
善,shàn,good,禮祖,purelandPatriarchs
知,zhī,knowing,禮祖,purelandPatriarchs
識,shí,ones,禮祖,purelandPatriarchs
初,chū,first,禮祖,purelandPatriarchs
廬,lú,Lu,禮祖,purelandPatriarchs
山,shān,Mountain,禮祖,purelandPatriarchs
林,lín,Grove,禮祖,purelandPatriarchs
遠,yuǎn,Yuan,禮祖,purelandPatriarchs
公,gōng,Noble,禮祖,purelandPatriarchs
二,èr,second,禮祖,purelandPatriarchs
長,cháng,Chang,禮祖,purelandPatriarchs
安,ān,An,禮祖,purelandPatriarchs
光,guāng,Radiant,禮祖,purelandPatriarchs
明,míng,Light,禮祖,purelandPatriarchs
導,dǎo,Dao,禮祖,purelandPatriarchs
南,nán,Nan,禮祖,purelandPatriarchs
嶽,yuè,Yue,禮祖,purelandPatriarchs
般,bō,Prajna,禮祖,purelandPatriarchs
舟,zhōu,Boat,禮祖,purelandPatriarchs
四,sì,fourth,禮祖,purelandPatriarchs
五,wǔ,Wu; fifth,禮祖,purelandPatriarchs
臺,tái,Tai,禮祖,purelandPatriarchs
竹,zhú,Bamboo,禮祖,purelandPatriarchs
照,zhào,Zhao,禮祖,purelandPatriarchs
新,xīn,Xin,禮祖,purelandPatriarchs
定,dìng,Ding,禮祖,purelandPatriarchs
烏,wū,Black,禮祖,purelandPatriarchs
龍,lóng,Dragon,禮祖,purelandPatriarchs
康,kāng,Kang,禮祖,purelandPatriarchs
六,liù,sixth,禮祖,purelandPatriarchs
杭,háng,Hang,禮祖,purelandPatriarchs
州,zhōu,Zhou,禮祖,purelandPatriarchs
永,yǒng,Eternal,禮祖,purelandPatriarchs
壽,shòu,Shou,禮祖,purelandPatriarchs
七,qī,seventh,禮祖,purelandPatriarchs
昭,zhāo,Bright,禮祖,purelandPatriarchs
慶,qìng,Joy,禮祖,purelandPatriarchs
常,cháng,Chang,禮祖,purelandPatriarchs
八,bā,eighth,禮祖,purelandPatriarchs
雲,yún,Cloud,禮祖,purelandPatriarchs
棲,qī,Perch,禮祖,purelandPatriarchs
九,jiǔ,ninth,禮祖,purelandPatriarchs
北,běi,Bei,禮祖,purelandPatriarchs
目,mù,Mu,禮祖,purelandPatriarchs
靈,líng,Spirit,禮祖,purelandPatriarchs
峯,fēng,Peak,禮祖,purelandPatriarchs
旭,xù,Xu,禮祖,purelandPatriarchs
十,shí,tenth,禮祖,purelandPatriarchs
虞,yú,Yu,禮祖,purelandPatriarchs
普,pǔ,Universal,禮祖,purelandPatriarchs
仁,rén,Benevolence,禮祖,purelandPatriarchs
策,cè,Ce,禮祖,purelandPatriarchs
一,yī,eleventh,禮祖,purelandPatriarchs
梵,fàn,Brahma,禮祖,purelandPatriarchs
天,tiān,Heaven,禮祖,purelandPatriarchs
賢,xián,Xian,禮祖,purelandPatriarchs
紅,hóng,Hong,禮祖,purelandPatriarchs
螺,luó,Luo,禮祖,purelandPatriarchs
資,zī,Endowed-with,禮祖,purelandPatriarchs
福,fú,Blessings,禮祖,purelandPatriarchs
醒,xǐng,Xing,禮祖,purelandPatriarchs
蘇,sū,Su,禮祖,purelandPatriarchs
巖,yán,Cave,禮祖,purelandPatriarchs
聖,shèng,Holy,禮祖,purelandPatriarchs
量,liàng,Measure,禮祖,purelandPatriarchs
印,yìn,Yin,禮祖,purelandPatriarchs
江,jiāng,Jiang,禮祖,purelandPatriarchs
西,xī,Xi,禮祖,purelandPatriarchs
真,zhēn,TRUE,禮祖,purelandPatriarchs
如,rú,Suchness,禮祖,purelandPatriarchs
古,gǔ,past,禮祖,purelandPatriarchs
今,jīn,present,禮祖,purelandPatriarchs
蓮,lián,Lotus,禮祖,purelandPatriarchs
社,shè,Society,禮祖,purelandPatriarchs
主,zhǔ,Host,禮祖,purelandPatriarchs
七,qī,Seven Day Session,禮祖,purelandPatriarchs
和,hé,Dharma Master,禮祖,purelandPatriarchs
尚,shàng,Dharma Master,禮祖,purelandPatriarchs
禮祖,lǐ zǔ,bowing to the Patriarchs,禮祖,purelandPatriarchs
頂禮,dǐng lǐ,we bow to,禮祖,purelandPatriarchs
西天,xī tiān,West,禮祖,purelandPatriarchs
東土,dōng dù,East,禮祖,purelandPatriarchs
歷代,lì dài,generations,禮祖,purelandPatriarchs
祖師,zǔ shī,Patriarchs,禮祖,purelandPatriarchs
天下,tiān xià,throughout the world,禮祖,purelandPatriarchs
宏宗,hóng zōng,propagate the schools,禮祖,purelandPatriarchs
演教,yǎn jiào,proclaim the teachings,禮祖,purelandPatriarchs
善知識,shàn zhī shí,good knowing ones,禮祖,purelandPatriarchs
初祖,chū zǔ,first Patriarch,禮祖,purelandPatriarchs
廬山,lú shān,Lu Mountain,禮祖,purelandPatriarchs
東林,dōng lín,Eastern Grove,禮祖,purelandPatriarchs
大師,dà shī,great master,禮祖,purelandPatriarchs
二祖,èr zǔ,second Patriarch,禮祖,purelandPatriarchs
長安,cháng ān,Chang An,禮祖,purelandPatriarchs
光明,guāng míng,Radiant Light,禮祖,purelandPatriarchs
三祖,sān zǔ,third Patriarch,禮祖,purelandPatriarchs
南嶽,nán yuè,Nan Yue,禮祖,purelandPatriarchs
般舟,bō zhōu,Prajna Boat,禮祖,purelandPatriarchs
四祖,sì zǔ,fourth Patriarch,禮祖,purelandPatriarchs
五臺,wǔ tái,Wu Tai,禮祖,purelandPatriarchs
竹林,zhú lín,Bamboo Grove,禮祖,purelandPatriarchs
五祖,wǔ zǔ,fifth Patriarch,禮祖,purelandPatriarchs
新定,xīn dìng,Xin Ding,禮祖,purelandPatriarchs
烏龍,wū lóng,Black Dragon,禮祖,purelandPatriarchs
六祖,liù zǔ,sixth Patriarch,禮祖,purelandPatriarchs
杭州,háng zhōu,Hang Zhou,禮祖,purelandPatriarchs
永明,yǒng míng,Eternal Brilliance,禮祖,purelandPatriarchs
七祖,qī zǔ,seventh Patriarch,禮祖,purelandPatriarchs
昭慶,zhāo qìng,Bright Joy,禮祖,purelandPatriarchs
八祖,bā zǔ,eighth Patriarch,禮祖,purelandPatriarchs
雲棲,yún qī,Cloud Perch,禮祖,purelandPatriarchs
九祖,jiǔ zǔ,ninth Patriarch,禮祖,purelandPatriarchs
天目,tiān mù,Tian Mu,禮祖,purelandPatriarchs
靈峯,líng fēng,Spirit Peak,禮祖,purelandPatriarchs
十祖,shí zǔ,tenth Patriarch,禮祖,purelandPatriarchs
虞山,yú shān,Yu Mountain,禮祖,purelandPatriarchs
普仁,pǔ rén,Universal Benevolence,禮祖,purelandPatriarchs
十一祖,shí yī zǔ,eleventh Patriarch,禮祖,purelandPatriarchs
梵天,fàn tiān,Brahma Heaven,禮祖,purelandPatriarchs
十二祖,shí èr zǔ,twelfth Patriarch,禮祖,purelandPatriarchs
紅螺,hóng luó,Hong Luo,禮祖,purelandPatriarchs
資福,zī fú,Endowed-with-Blessings,禮祖,purelandPatriarchs
十三祖,shí sān zǔ,thirteenth Patriarch,禮祖,purelandPatriarchs
蘇州,sū zhōu,Su Zhou,禮祖,purelandPatriarchs
靈巖,líng yán,Spirit Cave,禮祖,purelandPatriarchs
聖量,shèng liàng,Holy Measure,禮祖,purelandPatriarchs
十四祖,shí sì zǔ,fourteenth Patriarch,禮祖,purelandPatriarchs
江西,jiāng xī,Jiang Xi,禮祖,purelandPatriarchs
真如,zhēn rú,True Suchness,禮祖,purelandPatriarchs
古今,gǔ jīn,past and present,禮祖,purelandPatriarchs
蓮社,lián shè,Lotus Society,禮祖,purelandPatriarchs
宗師,zōng shī,masters,禮祖,purelandPatriarchs
主七,zhǔ qī,host of this seven day session,禮祖,purelandPatriarchs
和尚,hé shàng,Dharma Master,禮祖,purelandPatriarchs
