include,chinese,pinyin,english_def,multichar,ch_tag,eng_tag
0,三,sān,three,False,三皈依,three_refuges
1,皈,guī,return,False,三皈依,three_refuges
1,依,yī,rely,False,三皈依,three_refuges
0,佛,fó,buddha,False,三皈依,three_refuges
1,當,dāng,should; vow,False,三皈依,three_refuges
0,願,yuàn,vow,False,三皈依,three_refuges
0,眾,zhòng,multitude; beings,False,三皈依,three_refuges
0,生,shēng,living; beings,False,三皈依,three_refuges
1,體,tǐ,understand; body,False,三皈依,three_refuges
1,解,jiě,comprehend; understand,False,三皈依,three_refuges
0,大,dà,great,False,三皈依,three_refuges
0,道,dào,way; path,False,三皈依,three_refuges
0,發,fā,bring forth; generate,False,三皈依,three_refuges
0,無,wú,without; no,False,三皈依,three_refuges
0,上,shàng,above; supreme,False,三皈依,three_refuges
0,心,xīn,mind,False,三皈依,three_refuges
0,法,fǎ,dharma,False,三皈依,three_refuges
1,深,shēn,deeply,False,三皈依,three_refuges
0,入,rù,enter,False,三皈依,three_refuges
0,經,jīng,sutra,False,三皈依,three_refuges
1,藏,zàng,treasury; storehouse,False,三皈依,three_refuges
0,智,zhì,wisdom,False,三皈依,three_refuges
0,慧,huì,wisdom; insight,False,三皈依,three_refuges
0,如,rú,like; as,False,三皈依,three_refuges
0,海,hǎi,sea,False,三皈依,three_refuges
0,僧,sēng,sangha; monastic community,False,三皈依,three_refuges
1,統,tǒng,unite; together,False,三皈依,three_refuges
1,理,lǐ,manage; regulate,False,三皈依,three_refuges
0,一,yī,one,False,三皈依,three_refuges
0,切,qiè,all,False,三皈依,three_refuges
1,礙,ài,obstacle; hindrance,False,三皈依,three_refuges
0,和,hé,harmony; with,False,三皈依,three_refuges
0,南,nán,south (in 'homage'),False,三皈依,three_refuges
1,聖,shèng,sacred; holy,False,三皈依,three_refuges
1,三皈依,sān guī yī,three refuges,True,三皈依,three_refuges
1,皈依,guī yī,take refuge; return and rely,True,三皈依,three_refuges
0,眾生,zhòng shēng,living beings; sentient beings,True,三皈依,three_refuges
1,體解,tǐ jiě,understand; comprehend,True,三皈依,three_refuges
0,大道,dà dào,great way,True,三皈依,three_refuges
0,無上,wú shàng,unsurpassed; supreme,True,三皈依,three_refuges
0,上心,shàng xīn,supreme mind,True,三皈依,three_refuges
1,深入,shēn rù,deeply enter,True,三皈依,three_refuges
1,經藏,jīng zàng,sutra treasury,True,三皈依,three_refuges
1,智慧,zhì huì,wisdom,True,三皈依,three_refuges
0,如海,rú hǎi,like the sea,True,三皈依,three_refuges
0,大眾,dà zhòng,great assembly,True,三皈依,three_refuges
0,一切,yī qiè,all; one and all,True,三皈依,three_refuges
1,無礙,wú ài,without hindrance,True,三皈依,three_refuges
1,和南,hé nán,homage; venerating,True,三皈依,three_refuges
0,聖眾,shèng zhòng,sacred assembly; noble beings,True,三皈依,three_refuges
1,皈依佛,guī yī fó,take refuge in the Buddha,True,三皈依,three_refuges
1,皈依法,guī yī fǎ,take refuge in the Dharma,True,三皈依,three_refuges
1,皈依僧,guī yī sēng,take refuge in the Sangha,True,三皈依,three_refuges
1,當願眾生,dāng yuàn zhòng shēng,vowing that all living beings,True,三皈依,three_refuges
1,發無上心,fā wú shàng xīn,bring forth the unsurpassed mind,True,三皈依,three_refuges
1,智慧如海,zhì huì rú hǎi,wisdom like the sea,True,三皈依,three_refuges
1,一切無礙,yī qiè wú ài,all without hindrance,True,三皈依,three_refuges
1,和南聖眾,hé nán shèng zhòng,homage to the sacred assembly,True,三皈依,three_refuges
1,體解大道,tǐ jiě dà dào,understand the great way,True,三皈依,three_refuges
1,深入經藏,shēn rù jīng zàng,deeply enter the sutra treasury,True,三皈依,three_refuges
1,統理大眾,tǒng lǐ dà zhòng,form together a great assembly,True,三皈依,three_refuges
