chinese,pinyin,english_def,ch_tag,eng_tag
各,gè,each,求生淨土,SeekingRebirth
人,rén,everyone,求生淨土,SeekingRebirth
代,dài,on behalf of,求生淨土,SeekingRebirth
為,wèi,on behalf of,求生淨土,SeekingRebirth
父,fù,fathers,求生淨土,SeekingRebirth
母,mǔ,mothers,求生淨土,SeekingRebirth
師,shī,teachers,求生淨土,SeekingRebirth
長,zhǎng,elders,求生淨土,SeekingRebirth
暨,jì,and,求生淨土,SeekingRebirth
歷,lì,past,求生淨土,SeekingRebirth
劫,jié,kalpas,求生淨土,SeekingRebirth
怨,yuàn,enemies,求生淨土,SeekingRebirth
親,qīn,relatives,求生淨土,SeekingRebirth
禮,lǐ,bow,求生淨土,SeekingRebirth
佛,fó,Buddha,求生淨土,SeekingRebirth
三,sān,three times,求生淨土,SeekingRebirth
拜,bài,bow,求生淨土,SeekingRebirth
求,qiú,seeking,求生淨土,SeekingRebirth
生,shēng,birth,求生淨土,SeekingRebirth
淨,jìng,pure,求生淨土,SeekingRebirth
土,dù,land,求生淨土,SeekingRebirth
阿,ā,Amitabha,求生淨土,SeekingRebirth
彌,mí,Amitabha,求生淨土,SeekingRebirth
陀,tuó,Amitabha,求生淨土,SeekingRebirth
父母,fù mǔ,mothers and fathers,求生淨土,SeekingRebirth
師長,shī zhǎng,teachers and elders,求生淨土,SeekingRebirth
歷劫,lì jié,from kalpas past,求生淨土,SeekingRebirth
怨親,yuàn qīn,relatives and enemies,求生淨土,SeekingRebirth
禮佛,lǐ fó,bow to the Buddha,求生淨土,SeekingRebirth
三拜,sān bài,three times,求生淨土,SeekingRebirth
求生,qiú shēng,seeking birth,求生淨土,SeekingRebirth
淨土,jìng dù,pure land,求生淨土,SeekingRebirth
阿彌陀佛,ā mí tuó fó,Amitabha (Buddha),求生淨土,SeekingRebirth
