chinese,pinyin,english_def,ch_tag,eng_tag
灌,guàn,Anointing,Ten Small Mantras,十小咒
垂,chuí,bestowed,Ten Small Mantras,十小咒
垂,chuí,bestowed,Ten Small Mantras,十小咒
頂,dǐng,Crown,Ten Small Mantras,十小咒
法,fǎ,Dharma,Ten Small Mantras,十小咒
災,zāi,Disaster,Ten Small Mantras,十小咒
災,zāi,Disaster,Ten Small Mantras,十小咒
靈,líng,Efficacious,Ten Small Mantras,十小咒
消,xiāo,Eradicating,Ten Small Mantras,十小咒
消,xiāo,Eradicating,Ten Small Mantras,十小咒
滅,miè,Eradicating,Ten Small Mantras,十小咒
女,nǚ,Goddess,Ten Small Mantras,十小咒
天,tiān,Goddess; Deva,Ten Small Mantras,十小咒
護,hù,Guardian,Ten Small Mantras,十小咒
聖,shèng,Holy,Ten Small Mantras,十小咒
聖,shèng,Holy,Ten Small Mantras,十小咒
王,wáng,King,Ten Small Mantras,十小咒
王,wáng,King,Ten Small Mantras,十小咒
土,tǔ,Land,Ten Small Mantras,十小咒
壽,shòu,Life,Ten Small Mantras,十小咒
壽,shòu,Life,Ten Small Mantras,十小咒
師,shī,Master,Ten Small Mantras,十小咒
藥,yào,Medicine,Ten Small Mantras,十小咒
功,gōng,Merit,Ten Small Mantras,十小咒
功,gōng,Merit,Ten Small Mantras,十小咒
罪,zuì,Offenses,Ten Small Mantras,十小咒
淨,jìng,Pure,Ten Small Mantras,十小咒
往,wǎng,Rebirth,Ten Small Mantras,十小咒
生,shēng,Rebirth,Ten Small Mantras,十小咒
感,gǎn,Response,Ten Small Mantras,十小咒
七,qī,seven,Ten Small Mantras,十小咒
七,qī,seven,Ten Small Mantras,十小咒
小,xiǎo,small,Ten Small Mantras,十小咒
小,xiǎo,small,Ten Small Mantras,十小咒
尊,zūn,Venerated,Ten Small Mantras,十小咒
德,dé,Virtue,Ten Small Mantras,十小咒
德,dé,Virtue,Ten Small Mantras,十小咒
言,yán,Words,Ten Small Mantras,十小咒
真,zhēn,TRUE,Ten Small Mantras,十小咒
灌頂,guàn dǐng,Anointing the Crown,Ten Small Mantras,十小咒
如意,rú yì,As-You-Will,Ten Small Mantras,十小咒
如意,rú yì,As-You-Will,Ten Small Mantras,十小咒
吉祥,jí xiáng,Auspicious,Ten Small Mantras,十小咒
吉祥,jí xiáng,Auspicious,Ten Small Mantras,十小咒
頂禮,dǐng lǐ,bowing,Ten Small Mantras,十小咒
頂禮,dǐng lǐ,bowing,Ten Small Mantras,十小咒
護法,hù fǎ,Dharma Guardian,Ten Small Mantras,十小咒
消災,xiāo zāi,Disaster Eradicating,Ten Small Mantras,十小咒
消災,xiāo zāi,Disaster Eradicating,Ten Small Mantras,十小咒
靈感,líng gǎn,Efficacious Response,Ten Small Mantras,十小咒
滅罪,miè zuì,Eradicating Offenses,Ten Small Mantras,十小咒
天女,tiān nǚ,Goddess,Ten Small Mantras,十小咒
頭面,tóu miàn,head and face,Ten Small Mantras,十小咒
頭面,tóu miàn,head and face,Ten Small Mantras,十小咒
稱讚,chēng zàn,intone the praises,Ten Small Mantras,十小咒
稱讚,chēng zàn,intone the praises,Ten Small Mantras,十小咒
寶輪,bǎo lún,Jewel Wheel,Ten Small Mantras,十小咒
寶輪,bǎo lún,Jewel Wheel,Ten Small Mantras,十小咒
寶山,bǎo shān,Jewelled Mountain,Ten Small Mantras,十小咒
寶山,bǎo shān,Jewelled Mountain,Ten Small Mantras,十小咒
俱胝,jù zhī,koṭis,Ten Small Mantras,十小咒
俱胝,jù zhī,koṭis,Ten Small Mantras,十小咒
無量,wú liàng,Limitless,Ten Small Mantras,十小咒
無量,wú liàng,Limitless,Ten Small Mantras,十小咒
藥師,yào shī,Medicine Master,Ten Small Mantras,十小咒
功德,gōng dé,Meritorious Virtue,Ten Small Mantras,十小咒
功德,gōng dé,Meritorious Virtue,Ten Small Mantras,十小咒
惟願,wéi yuàn,only praying that,Ten Small Mantras,十小咒
惟願,wéi yuàn,only praying that,Ten Small Mantras,十小咒
稽首,qǐ shǒu,Prostrating,Ten Small Mantras,十小咒
稽首,qǐ shǒu,Prostrating,Ten Small Mantras,十小咒
加護,jiā hù,Protection,Ten Small Mantras,十小咒
加護,jiā hù,Protection,Ten Small Mantras,十小咒
淨土,jìng tǔ,Pure Land,Ten Small Mantras,十小咒
往生,wǎng shēng,Rebirth,Ten Small Mantras,十小咒
決定,jué dìng,Resolute,Ten Small Mantras,十小咒
決定,jué dìng,Resolute,Ten Small Mantras,十小咒
皈依,guī yī,take refuge,Ten Small Mantras,十小咒
皈依,guī yī,take refuge,Ten Small Mantras,十小咒
真言,zhēn yán,True Words,Ten Small Mantras,十小咒
尊天,zūn tiān,Venerated Deva,Ten Small Mantras,十小咒
韋馱,wéi tuó,Wei Tuo,Ten Small Mantras,十小咒
準提,zhǔn tí,Zhun Ti; Cundi,Ten Small Mantras,十小咒
準提,zhǔn tí,Zhun Ti; Cundi,Ten Small Mantras,十小咒
陀羅尼,tuó luó ní,Dharani,Ten Small Mantras,十小咒
陀羅尼,tuó luó ní,Dharani,Ten Small Mantras,十小咒
光明王,guāng míng wáng,Light King,Ten Small Mantras,十小咒
光明王,guāng míng wáng,Light King,Ten Small Mantras,十小咒
無量壽,wú liàng shòu,Limitless Life,Ten Small Mantras,十小咒
無量壽,wú liàng shòu,Limitless Life,Ten Small Mantras,十小咒
蘇悉帝,sū xī dì,Susiddhi,Ten Small Mantras,十小咒
蘇悉帝,sū xī dì,Susiddhi,Ten Small Mantras,十小咒
