chinese,pinyin,english_def,ch_tag,eng_tag
禮,lǐ,worship; bow; ceremony,禮佛懺悔,88Bud
佛,fó,Buddha,禮佛懺悔,88Bud
大,dà,great; greatly,禮佛懺悔,88Bud
懺,chàn,repent; repentance,禮佛懺悔,88Bud
悔,huǐ,reform; repentance,禮佛懺悔,88Bud
文,wén,text; ceremony,禮佛懺悔,88Bud
慈,cí,kind; kindness,禮佛懺悔,88Bud
悲,bēi,compassionate; compassion,禮佛懺悔,88Bud
愍,mǐn,rescue; pity,禮佛懺悔,88Bud
眾,zhòng,assemblies; beings; host,禮佛懺悔,88Bud
生,shēng,beings; born; life,禮佛懺悔,88Bud
喜,xǐ,joyous; joy; rejoice,禮佛懺悔,88Bud
捨,shě,giving; relinquish,禮佛懺悔,88Bud
濟,jì,rescue; save,禮佛懺悔,88Bud
含,hán,conscious; contain,禮佛懺悔,88Bud
識,shí,beings; consciousness,禮佛懺悔,88Bud
相,xiàng,appearance; characteristics,禮佛懺悔,88Bud
好,hǎo,fine; good,禮佛懺悔,88Bud
光,guāng,light; radiance,禮佛懺悔,88Bud
明,míng,understanding; bright; radiance,禮佛懺悔,88Bud
以,yǐ,with; by; using,禮佛懺悔,88Bud
自,zì,self; self-mastery,禮佛懺悔,88Bud
嚴,yán,adorned,禮佛懺悔,88Bud
等,děng,and so forth; equal; assemblies,禮佛懺悔,88Bud
至,zhì,utmost; till; to,禮佛懺悔,88Bud
心,xīn,sincerity; mind; heart,禮佛懺悔,88Bud
歸,guī,return; take refuge,禮佛懺悔,88Bud
命,mìng,life; lives,禮佛懺悔,88Bud
無,wú,without; no; namo (in 南無),禮佛懺悔,88Bud
皈,guī,take refuge,禮佛懺悔,88Bud
依,yī,with; rely on,禮佛懺悔,88Bud
十,shí,ten,禮佛懺悔,88Bud
方,fāng,directions,禮佛懺悔,88Bud
盡,jìn,ends; exhaust; entirely,禮佛懺悔,88Bud
虛,xū,empty,禮佛懺悔,88Bud
空,kōng,space; empty,禮佛懺悔,88Bud
界,jiè,realm; world,禮佛懺悔,88Bud
一,yī,one; all; every,禮佛懺悔,88Bud
切,qiè,all; every,禮佛懺悔,88Bud
諸,zhū,all; every; various,禮佛懺悔,88Bud
尊,zūn,venerable; honored,禮佛懺悔,88Bud
法,fǎ,Dharma,禮佛懺悔,88Bud
賢,xián,worthy; sage; Samantabhadra,禮佛懺悔,88Bud
聖,shèng,worthies; sages; holy,禮佛懺悔,88Bud
僧,sēng,Sangha,禮佛懺悔,88Bud
