chinese,pinyin,english_def,ch_tag,eng_tag
遂,suì,accords,Medicine Buddha,藥師如來
嚴,yán,adorned,Medicine Buddha,藥師如來
後,hòu,after,Medicine Buddha,藥師如來
會,huì,Assembly,Medicine Buddha,藥師如來
情,qíng,beings,Medicine Buddha,藥師如來
利,lì,benefit,Medicine Buddha,藥師如來
燄,yàn,blazing,Medicine Buddha,藥師如來
邊,biān,boundless,Medicine Buddha,藥師如來
繞,rào,circumambulating,Medicine Buddha,藥師如來
各,gè,each,Medicine Buddha,藥師如來
東,dōng,Eastern,Medicine Buddha,藥師如來
跪,guì,kneel,Medicine Buddha,藥師如來
界,jiè,Land,Medicine Buddha,藥師如來
延,yán,Lengthening,Medicine Buddha,藥師如來
壽,shòu,Life,Medicine Buddha,藥師如來
光,guāng,Light,Medicine Buddha,藥師如來
有,yǒu,living,Medicine Buddha,藥師如來
等,děng,match,Medicine Buddha,藥師如來
倫,lún,matchless,Medicine Buddha,藥師如來
月,yuè,Moon,Medicine Buddha,藥師如來
網,wǎng,net,Medicine Buddha,藥師如來
掌,zhǎng,palms,Medicine Buddha,藥師如來
位,wèi,place,Medicine Buddha,藥師如來
行,xíng,practice,Medicine Buddha,藥師如來
讚,zàn,Praise,Medicine Buddha,藥師如來
合,hé,put together,Medicine Buddha,藥師如來
念,niàn,recite,Medicine Buddha,藥師如來
退,tuì,retreat,Medicine Buddha,藥師如來
歸,guī,Return,Medicine Buddha,藥師如來
海,hǎi,sea,Medicine Buddha,藥師如來
照,zhào,Shining,Medicine Buddha,藥師如來
莊,zhuāng,splendid,Medicine Buddha,藥師如來
日,rì,Sun,Medicine Buddha,藥師如來
徧,biàn,Universal,Medicine Buddha,藥師如來
願,yuàn,vows,Medicine Buddha,藥師如來
求,qiú,wish,Medicine Buddha,藥師如來
所,suǒ,wish (particle),Medicine Buddha,藥師如來
世,shì,World,Medicine Buddha,藥師如來
燄網,yàn wǎng,blazing net,Medicine Buddha,藥師如來
無邊,wú biān,boundless,Medicine Buddha,藥師如來
東方,dōng fāng,Eastern,Medicine Buddha,藥師如來
海會,hǎi huì,Great Assembly,Medicine Buddha,藥師如來
跪念,guì niàn,kneel and recite,Medicine Buddha,藥師如來
琉璃,liú lí,Lapis Lazuli,Medicine Buddha,藥師如來
延壽,yán shòu,Lengthening Life,Medicine Buddha,藥師如來
有情,yǒu qíng,living beings,Medicine Buddha,藥師如來
月光,yuè guāng,Moonlight,Medicine Buddha,藥師如來
不退,bú tuì,never retreat,Medicine Buddha,藥師如來
所求,suǒ qiú,one's wish,Medicine Buddha,藥師如來
行願,xíng yuàn,practice and vows,Medicine Buddha,藥師如來
合掌,hé zhǎng,put palms together,Medicine Buddha,藥師如來
繞念,rào niàn,recite while circumambulating,Medicine Buddha,藥師如來
歸位,guī wèi,Return to place,Medicine Buddha,藥師如來
莊嚴,zhuāng yán,splendidly adorned,Medicine Buddha,藥師如來
日光,rì guāng,Sunlight,Medicine Buddha,藥師如來
徧照,biàn zhào,Universal Shining,Medicine Buddha,藥師如來
世界,shì jiè,World; Land,Medicine Buddha,藥師如來
無等倫,wú děng lún,matchlessly,Medicine Buddha,藥師如來
