Character,Pīnyīn,English,eng_tag,shared_by,ch_tag
千,qiān,thousand,great_compassion_repentance,"慳, 愆",大悲懺
手,shǒu,hands,great_compassion_repentance,"首, 守",大悲懺
眼,yǎn,eyes,great_compassion_repentance,"广, 演",大悲懺
大,dà,great; vast,great_compassion_repentance,,大悲懺
悲,bēi,compassion; sorrow,great_compassion_repentance,,大悲懺
懺,chàn,repent; bowing repentance,great_compassion_repentance,,大悲懺
法,fǎ,dharma; ways; principle,great_compassion_repentance,,大悲懺
觀,guān,contemplated,great_compassion_repentance,,大悲懺
世,shì,life,great_compassion_repentance,"士, 氏, 示, 事, 是, 飾, 逝, 釋, 誓, 勢, 識",大悲懺
音,yīn,music; sounds,great_compassion_repentance,"殷, 因",大悲懺
一,yí,one; single,great_compassion_repentance,"儀, 疑",大悲懺
切,qiè,all; close to; entirely,great_compassion_repentance,,大悲懺
恭,gōng,respectful,great_compassion_repentance,"工, 弓, 功, 公, 宮",大悲懺
敬,jìng,reverent,great_compassion_repentance,"淨, 竟, 靜",大悲懺
一,yì,one; single,great_compassion_repentance,"弋, 邑, 異, 億, 亦, 意, 議, 義, 憶, 逸, 益",大悲懺
心,xīn,thoughts,great_compassion_repentance,"辛, 新",大悲懺
頂,dǐng,top; bow down with the head,great_compassion_repentance,鼎,大悲懺
禮,lǐ,worship; bow; ceremony,great_compassion_repentance,"里, 理",大悲懺
十,shí,ten,great_compassion_repentance,"石, 食, 時, 識, 實",大悲懺
方,fāng,means,great_compassion_repentance,匚,大悲懺
常,cháng,everlasting; constantly,great_compassion_repentance,長,大悲懺
住,zhù,abides; dwells; stays,great_compassion_repentance,,大悲懺
三,sān,three,great_compassion_repentance,,大悲懺
寶,bǎo,jeweled; jewel; precious,great_compassion_repentance,飽,大悲懺
是,shì,this; these,great_compassion_repentance,"士, 氏, 示, 事, 世, 飾, 逝, 釋, 誓, 勢, 識",大悲懺
諸,zhū,all; many,great_compassion_repentance,珠,大悲懺
眾,zhòng,assembly; crowd; many,great_compassion_repentance,重,大悲懺
等,děng,sameness,great_compassion_repentance,,大悲懺
各,gè,each; every,great_compassion_repentance,,大悲懺
胡,hú,kneeling (style of kneeling),great_compassion_repentance,,大悲懺
跪,guì,kneeling; kneels,great_compassion_repentance,,大悲懺
嚴,yán,adornment; majestic; strict,great_compassion_repentance,"言, 延, 巖, 顏",大悲懺
持,chí,holding; holds; bear in mind,great_compassion_repentance,池,大悲懺
香,xiāng,incense; fragrance,great_compassion_repentance,相,大悲懺
華,huā,flower; splendid,great_compassion_repentance,,大悲懺
如,rú,in accord with; like; as,great_compassion_repentance,,大悲懺
供,gòng,making offerings; offer,great_compassion_repentance,共,大悲懺
養,yàng,offerings; support,great_compassion_repentance,,大悲懺
願,yuàn,practice; vows,great_compassion_repentance,怨,大悲懺
此,cǐ,this,great_compassion_repentance,,大悲懺
雲,yún,cloud,great_compassion_repentance,云,大悲懺
遍,biàn,pervade; everywhere; completely,great_compassion_repentance,"釆, 變, 偏, 徧, 便, 辯",大悲懺
滿,mǎn,full,great_compassion_repentance,,大悲懺
界,jiè,directions; realm; bounds,great_compassion_repentance,戒,大悲懺
一,yī,first (ground),great_compassion_repentance,"衣, 依",大悲懺
佛,fó,Buddha; Buddhalands,great_compassion_repentance,,大悲懺
土,tǔ,earth,great_compassion_repentance,,大悲懺
無,wú,supreme,great_compassion_repentance,"无, 毋, 吾",大悲懺
量,liàng,measure; bounds,great_compassion_repentance,,大悲懺
莊,zhuāng,adorned; majestic,great_compassion_repentance,,大悲懺
具,jù,complete; fully; objects,great_compassion_repentance,"俱, 炬, 聚, 句",大悲懺
足,zú,fulfilled; complete; feet,great_compassion_repentance,,大悲懺
道,dào,path; way,great_compassion_repentance,到,大悲懺
成,chéng,perfected; accomplishment; create,great_compassion_repentance,"城, 盛, 誠, 澄, 乘, 承",大悲懺
就,jiù,accomplished; reach,great_compassion_repentance,"臼, 救",大悲懺
來,lái,until,great_compassion_repentance,,大悲懺
我,wǒ,my; I,great_compassion_repentance,,大悲懺
以,yǐ,making; with; because,great_compassion_repentance,"乙, 已",大悲懺
為,wéi,tower; become; body; for,great_compassion_repentance,"囗, 韋, 圍, 唯, 微, 維, 違, 惟",大悲懺
微,wēi,subtle; miraculous,great_compassion_repentance,威,大悲懺
妙,miào,wonderful; spiritual; subtle,great_compassion_repentance,,大悲懺
光,guāng,light,great_compassion_repentance,,大悲懺
明,míng,bright; clarity,great_compassion_repentance,"名, 冥",大悲懺
臺,tái,tower; platform,great_compassion_repentance,台,大悲懺
天,tiān,heavenly; heavens; gods,great_compassion_repentance,,大悲懺
樂,yuè,music,great_compassion_repentance,"月, 龠, 悅, 嶽, 越",大悲懺
餚,yáo,delicacies,great_compassion_repentance,"爻, 遙",大悲懺
膳,shàn,delicacies; food,great_compassion_repentance,善,大悲懺
衣,yī,garments; clothes,great_compassion_repentance,"一, 依",大悲懺
不,bù,not; cannot,great_compassion_repentance,"布, 步, 怖, 部",大悲懺
可,kě,can; potential,great_compassion_repentance,,大悲懺
思,sī,inconceivably; think,great_compassion_repentance,"厶, 私, 斯",大悲懺
議,yì,inconceivably; discuss,great_compassion_repentance,"弋, 邑, 異, 億, 亦, 意, 義, 憶, 逸, 益, 一",大悲懺
塵,chén,defilement; dharma-objects; particle,great_compassion_repentance,"臣, 辰, 沈",大悲懺
出,chū,escape,great_compassion_repentance,初,大悲懺
旋,xuán,revolving,great_compassion_repentance,玄,大悲懺
轉,zhuǎn,revolving; wheel,great_compassion_repentance,,大悲懺
礙,ài,unobstructed; unimpeded; hindrance,great_compassion_repentance,愛,大悲懺
互,hù,each other; mutually,great_compassion_repentance,"戶, 護",大悲懺
至,zhì,utmost,great_compassion_repentance,"豸, 智, 致, 制, 置",大悲懺
前,qián,before; present; time,great_compassion_repentance,,大悲懺
悉,xī,everywhere; entirely; all,great_compassion_repentance,"夕, 西, 希, 昔",大悲懺
有,yǒu,triple world; existence,great_compassion_repentance,"酉, 友",大悲懺
身,shēn,body,great_compassion_repentance,"深, 伸",大悲懺
修,xiū,cultivate; makes,great_compassion_repentance,,大悲懺
皆,jiē,all; together,great_compassion_repentance,"階, 接",大悲懺
彼,bǐ,that; those,great_compassion_repentance,"匕, 比",大悲懺
雜,zá,mixed; adulterated,great_compassion_repentance,,大悲懺
障,zhàng,obstacles; green obstacles; hindrance,great_compassion_repentance,丈,大悲懺
盡,jìn,extinguished,great_compassion_repentance,進,大悲懺
未,wèi,future,great_compassion_repentance,"為, 味, 謂, 畏, 位",大悲懺
際,jì,bounds; time,great_compassion_repentance,"彐, 偈, 濟, 計, 伎, 髻, 迹, 寂, 暨",大悲懺
作,zuò,doing; create,great_compassion_repentance,坐,大悲懺
事,shì,work; matter; things,great_compassion_repentance,"士, 氏, 示, 是, 世, 飾, 逝, 釋, 誓, 勢, 識",大悲懺
普,pǔ,everywhere; universal,great_compassion_repentance,,大悲懺
薰,xūn,spreading fragrance; received the fragrance; seasoned,great_compassion_repentance,熏,大悲懺
生,shēng,living beings; life; birth,great_compassion_repentance,聲,大悲懺
蒙,méng,having received,great_compassion_repentance,,大悲懺
發,fā,bring forth; manifests; emit,great_compassion_repentance,,大悲懺
同,tóng,together; same; identical,great_compassion_repentance,童,大悲懺
入,rù,enter,great_compassion_repentance,,大悲懺
證,zhèng,certified to; fruition,great_compassion_repentance,正,大悲懺
智,zhì,wisdom,great_compassion_repentance,"至, 豸, 致, 制, 置",大悲懺
已,yǐ,complete; now; finished,great_compassion_repentance,"乙, 以",大悲懺
過,guò,past; errors,great_compassion_repentance,,大悲懺
去,qù,past,great_compassion_repentance,趣,大悲懺
正,zhèng,proper,great_compassion_repentance,證,大悲懺
現,xiàn,present (life),great_compassion_repentance,,大悲懺
功,gōng,merit,great_compassion_repentance,"工, 弓, 公, 恭, 宮",大悲懺
德,dé,virtues,great_compassion_repentance,得,大悲懺
慈,cí,kind; kindness,great_compassion_repentance,辭,大悲懺
於,yú,in; before,great_compassion_repentance,"魚, 愚, 餘, 虞",大悲懺
照,zhào,illumines; look upon,great_compassion_repentance,召,大悲懺
見,jiàn,looks upon; seeing,great_compassion_repentance,"賤, 間",大悲懺
護,hù,protects; protection,great_compassion_repentance,"戶, 互",大悲懺
令,lìng,causes; so that,great_compassion_repentance,,大悲懺
廣,guǎng,great; vast; wide scale,great_compassion_repentance,,大悲懺
教,jiào,teaches; teachings,great_compassion_repentance,校,大悲懺
圓,yuán,perfect; full,great_compassion_repentance,"緣, 源",大悲懺
神,shén,spiritual; awesome,great_compassion_repentance,,大悲懺
咒,zhòu,mantra,great_compassion_repentance,晝,大悲懺
永,yǒng,forever,great_compassion_repentance,"勇, 涌",大悲懺
離,lí,leave,great_compassion_repentance,,大悲懺
惡,è,evil; foul,great_compassion_repentance,"餓, 厄",大悲懺
得,dé,attained; be reborn; can,great_compassion_repentance,德,大悲懺
間,jiàn,uninterrupted; cease,great_compassion_repentance,"見, 賤",大悲懺
重,zhòng,grave; heavy,great_compassion_repentance,眾,大悲懺
愆,qiān,offenses,great_compassion_repentance,"千, 慳",大悲懺
纏,chán,bind; embroils,great_compassion_repentance,禪,大悲懺
疾,jí,ills; illnesses,great_compassion_repentance,"即, 及, 極, 寂, 集",大悲懺
莫,mò,no one; cannot,great_compassion_repentance,末,大悲懺
能,néng,can; able to,great_compassion_repentance,,大悲懺
救,jiù,saved; rescue,great_compassion_repentance,"臼, 就",大悲懺
濟,jì,extricated,great_compassion_repentance,"彐, 偈, 計, 伎, 髻, 迹, 寂, 暨, 際",大悲懺
使,shǐ,to cause; to make,great_compassion_repentance,"矢, 豕, 始",大悲懺
消,xiāo,melt away; eradicate; extinguished,great_compassion_repentance,銷,大悲懺
除,chú,melt away; dissolve; wipe out,great_compassion_repentance,廚,大悲懺
辯,biàn,eloquence,great_compassion_repentance,"釆, 變, 遍, 偏, 徧, 便",大悲懺
才,cái,eloquence,great_compassion_repentance,財,大悲懺
求,qiú,sought; seek,great_compassion_repentance,,大悲懺
果,guǒ,fruit; fruition; result,great_compassion_repentance,,大悲懺
遂,suì,accomplishment,great_compassion_repentance,,大悲懺
決,jué,no doubt whatever,great_compassion_repentance,"亅, 覺",大悲懺
定,dìng,no doubt whatever; samadhi,great_compassion_repentance,,大悲懺
疑,yí,doubt,great_compassion_repentance,"儀, 一",大悲懺
速,sù,quickly; soon,great_compassion_repentance,宿,大悲懺
獲,huò,attained,great_compassion_repentance,"或, 惑",大悲懺
乘,chéng,vehicles; board,great_compassion_repentance,"城, 成, 盛, 誠, 澄, 承",大悲懺
早,zǎo,soon; quickly,great_compassion_repentance,,大悲懺
登,dēng,reached; climb,great_compassion_repentance,燈,大悲懺
地,dì,ground,great_compassion_repentance,"弟, 帝, 諦",大悲懺
威,wēi,awesome,great_compassion_repentance,微,大悲懺
之,zhī,of (possessive particle),great_compassion_repentance,"支, 知",大悲懺
力,lì,might; strength,great_compassion_repentance,"立, 隶, 鬲, 利, 歷",大悲懺
歎,tàn,praises,great_compassion_repentance,,大悲懺
窮,qióng,exhaust,great_compassion_repentance,,大悲懺
故,gù,therefore; for the sake of,great_compassion_repentance,,大悲懺
歸,guī,return; relies,great_compassion_repentance,"龜, 皈",大悲懺
命,mìng,life,great_compassion_repentance,,大悲懺
本,běn,original,great_compassion_repentance,,大悲懺
師,shī,masters,great_compassion_repentance,"尸, 施, 失",大悲懺
尊,zūn,honored; World Honored One,great_compassion_repentance,,大悲懺
所,suǒ,worshed/worshipper (object modifier); brought about by,great_compassion_repentance,,大悲懺
性,xìng,nature,great_compassion_repentance,,大悲懺
空,kōng,empty; space,great_compassion_repentance,,大悲懺
寂,jì,still; extinguished,great_compassion_repentance,"彐, 偈, 濟, 計, 伎, 髻, 迹, 暨, 際",大悲懺
感,gǎn,response; connection,great_compassion_repentance,,大悲懺
應,yìng,response,great_compassion_repentance,,大悲懺
交,jiāo,intertwined; embroils,great_compassion_repentance,,大悲懺
難,nán,difficult to; hard,great_compassion_repentance,"南, 男",大悲懺
場,chǎng,place; way-place,great_compassion_repentance,,大悲懺
帝,dì,wish-fulfilling,great_compassion_repentance,"弟, 地, 諦",大悲懺
珠,zhū,pearl,great_compassion_repentance,諸,大悲懺
影,yǐng,appears,great_compassion_repentance,,大悲懺
中,zhōng,present (life),great_compassion_repentance,終,大悲懺
頭,tóu,head,great_compassion_repentance,"亠, 投",大悲懺
面,miàn,face,great_compassion_repentance,,大悲懺
接,jiē,worshipping; bow down,great_compassion_repentance,"皆, 階",大悲懺
西,xī,western,great_compassion_repentance,"夕, 悉, 希, 昔",大悲懺
極,jí,ultimate,great_compassion_repentance,"即, 及, 寂, 集, 疾",大悲懺
樂,lè,bliss,great_compassion_repentance,勒,大悲懺
億,yì,kotis,great_compassion_repentance,"弋, 邑, 異, 亦, 意, 議, 義, 憶, 逸, 益, 一",大悲懺
劫,jié,kalpas,great_compassion_repentance,"卩, 結, 潔, 竭",大悲懺
王,wáng,king,great_compassion_repentance,亡,大悲懺
靜,jìng,stillness; still,great_compassion_repentance,"淨, 竟, 敬",大悲懺
九,jiǔ,ninety,great_compassion_repentance,"韭, 久",大悲懺
沙,shā,sands,great_compassion_repentance,,大悲懺
賢,xián,worthy,great_compassion_repentance,咸,大悲懺
章,zhāng,phrases,great_compassion_repentance,,大悲懺
句,jù,phrases; lines,great_compassion_repentance,"俱, 炬, 具, 聚",大悲懺
今,jīn,this; present,great_compassion_repentance,"巾, 斤, 金",大悲懺
業,yè,karmas; karmic actions; practices,great_compassion_repentance,"頁, 夜, 葉",大悲懺
請,qǐng,pray; ask,great_compassion_repentance,頃,大悲懺
惟,wéi,pray; only,great_compassion_repentance,"囗, 韋, 為, 圍, 唯, 微, 維, 違",大悲懺
顯,xiǎn,manifest,great_compassion_repentance,,大悲懺
受,shòu,receive,great_compassion_repentance,壽,大悲懺
說,shuō,spoken; finished speaking; phrases,great_compassion_repentance,,大悲懺
及,jí,and,great_compassion_repentance,"即, 極, 寂, 集, 疾",大悲懺
真,zhēn,True,great_compassion_repentance,,大悲懺
虛,xū,empty,great_compassion_repentance,,大悲懺
自,zì,my,great_compassion_repentance,字,大悲懺
在,zài,at ease; present,great_compassion_repentance,,大悲懺
為,wèi,tower; become; body; for,great_compassion_repentance,"味, 謂, 未, 畏, 位",大悲懺
滅,miè,eradication; disappear; extinguished,great_compassion_repentance,,大悲懺
勢,shì,strength; power,great_compassion_repentance,"士, 氏, 示, 事, 是, 世, 飾, 逝, 釋, 誓, 識",大悲懺
總,zǒng,total; dharani,great_compassion_repentance,,大悲懺
日,rì,day,great_compassion_repentance,,大悲懺
月,yuè,moonlight,great_compassion_repentance,"龠, 樂, 悅, 嶽, 越",大悲懺
藥,yào,physician,great_compassion_repentance,要,大悲懺
上,shàng,supreme,great_compassion_repentance,尚,大悲懺
華,huá,flower; splendid,great_compassion_repentance,,大悲懺
藏,zàng,treasury,great_compassion_repentance,,大悲懺
金,jīn,gold; metal,great_compassion_repentance,"巾, 斤, 今",大悲懺
剛,gāng,hard; adamantine (vajra),great_compassion_repentance,,大悲懺
文,wén,liturgy; text,great_compassion_repentance,聞,大悲懺
殊,shū,profound,great_compassion_repentance,殳,大悲懺
數,shù,innumerable; number,great_compassion_repentance,"樹, 豎",大悲懺
聲,shēng,voice; sound; recitations,great_compassion_repentance,生,大悲懺
聞,wén,hearer; sound-hearer,great_compassion_repentance,文,大悲懺
僧,sēng,sangha,great_compassion_repentance,,大悲懺
闡,chǎn,to expound; to elucidate,great_compassion_repentance,,大悲懺
台,tái,platform; terrace (Tiantai),great_compassion_repentance,臺,大悲懺
四,sì,fourth; four,great_compassion_repentance,寺,大悲懺
者,zhě,venerable one; those who (particle),great_compassion_repentance,,大悲懺
代,dài,on behalf of,great_compassion_repentance,,大悲懺
善,shàn,good; skill,great_compassion_repentance,膳,大悲懺
梵,fàn,Brahma; pure (brahman),great_compassion_repentance,飯,大悲懺
子,zǐ,god; child,great_compassion_repentance,紫,大悲懺
龍,lóng,dragons,great_compassion_repentance,,大悲懺
八,bā,eight,great_compassion_repentance,,大悲懺
部,bù,divisions,great_compassion_repentance,"不, 布, 步, 怖",大悲懺
童,tóng,young men/women,great_compassion_repentance,同,大悲懺
目,mù,eye,great_compassion_repentance,木,大悲懺
女,nǚ,goddess; young women,great_compassion_repentance,,大悲懺
江,jiāng,rivers,great_compassion_repentance,將,大悲懺
海,hǎi,oceans; sea,great_compassion_repentance,,大悲懺
泉,quán,fountains,great_compassion_repentance,全,大悲懺
源,yuán,springs,great_compassion_repentance,"緣, 圓",大悲懺
河,hé,streams,great_compassion_repentance,"禾, 何, 和, 合",大悲懺
沼,zhǎo,pools,great_compassion_repentance,爪,大悲懺
草,cǎo,herbs; grasses,great_compassion_repentance,艸,大悲懺
樹,shù,woods; trees,great_compassion_repentance,"數, 豎",大悲懺
林,lín,woods,great_compassion_repentance,臨,大悲懺
舍,shè,household; dwell,great_compassion_repentance,"攝, 社",大悲懺
宅,zhái,household,great_compassion_repentance,,大悲懺
水,shuǐ,water,great_compassion_repentance,,大悲懺
火,huǒ,fire; boiling,great_compassion_repentance,,大悲懺
風,fēng,wind,great_compassion_repentance,峯,大悲懺
山,shān,mountain,great_compassion_repentance,彡,大悲懺
宮,gōng,palace,great_compassion_repentance,"工, 弓, 功, 公, 恭",大悲懺
