Character,Pīnyīn,English,shared_by,ch_tag,eng_tag
讚,zàn,praise; a hymn of praise (eulogy),,普門品,pumen_pin
遍,biàn,everywhere; all over; pervading,"釆, 變, 偏, 徧, 便, 辯",普門品,pumen_pin
洒,sǎ,to sprinkle; to scatter (water),灑,普門品,pumen_pin
性,xìng,nature; inherent nature,,普門品,pumen_pin
空,kōng,empty; emptiness; void,,普門品,pumen_pin
利,lì,to benefit; benefit; advantage,"力, 立, 隶, 鬲, 歷",普門品,pumen_pin
福,fú,blessings; merit; good fortune,"伏, 服",普門品,pumen_pin
壽,shòu,lifespan; longevity; long life,受,普門品,pumen_pin
廣,guǎng,vast; broad; extensively,,普門品,pumen_pin
增,zēng,to increase; to add to,,普門品,pumen_pin
延,yán,to extend; to prolong,"言, 嚴, 巖, 顏",普門品,pumen_pin
滅,miè,to extinguish; to eradicate; to wipe out,,普門品,pumen_pin
罪,zuì,offenses; transgressions; sins,最,普門品,pumen_pin
消,xiāo,to dissolve; to get rid of; to dispel,銷,普門品,pumen_pin
愆,qiān,faults; transgressions; misdeeds,"千, 慳",普門品,pumen_pin
化,huà,to transform; to turn into,話,普門品,pumen_pin
劫,jié,eon; aeon; kalpa,"卩, 結, 潔, 竭",普門品,pumen_pin
解,jiě,to understand; to fathom; to comprehend,,普門品,pumen_pin
品,pǐn,chapter; section (of a sūtra),,普門品,pumen_pin
即,jí,immediately; thereupon; at once,"及, 極, 寂, 集, 疾",普門品,pumen_pin
座,zuò,seat; a sitting place,"作, 坐",普門品,pumen_pin
起,qǐ,to rise; to get up,,普門品,pumen_pin
名,míng,name; to be named; to be called,"明, 冥",普門品,pumen_pin
佛,fó,Buddha; an awakened one,,普門品,pumen_pin
告,gào,to tell; to address; to say to,,普門品,pumen_pin
受,shòu,to undergo; to receive; to experience,壽,普門品,pumen_pin
諸,zhū,all; various; the many,珠,普門品,pumen_pin
聞,wén,to hear; hearing,文,普門品,pumen_pin
稱,chēng,to recite aloud; to call out; to invoke,,普門品,pumen_pin
皆,jiē,all; in every case,"階, 接",普門品,pumen_pin
持,chí,to uphold; to hold; to maintain,池,普門品,pumen_pin
設,shè,supposing; if; even if,"舍, 攝, 社",普門品,pumen_pin
入,rù,to enter; to go into,,普門品,pumen_pin
火,huǒ,fire,,普門品,pumen_pin
燒,shāo,to burn,,普門品,pumen_pin
威,wēi,awesome; majestic; awe-inspiring power,微,普門品,pumen_pin
漂,piāo,to drift; to be tossed about; to float adrift,,普門品,pumen_pin
淺,qiǎn,shallow; a shallow place,,普門品,pumen_pin
求,qiú,to seek; to look for,,普門品,pumen_pin
金,jīn,gold,"巾, 斤, 今",普門品,pumen_pin
銀,yín,silver,,普門品,pumen_pin
寶,bǎo,treasure; jewel; precious thing,飽,普門品,pumen_pin
假,jiǎ,if; supposing; in the event that,,普門品,pumen_pin
吹,chuī,to blow,,普門品,pumen_pin
等,děng,and so forth; the group of; etc.,,普門品,pumen_pin
難,nàn,calamity; peril; difficulty; distress,,普門品,pumen_pin
害,hài,to harm; to injure; harm,,普門品,pumen_pin
執,zhí,to grasp; to wield; to hold,,普門品,pumen_pin
壞,huài,to break; to be destroyed; to fall apart,,普門品,pumen_pin
視,shì,to look at; to stare at; to regard,"士, 氏, 示, 事, 是, 世, 飾, 逝, 釋, 誓, 勢, 識, 侍",普門品,pumen_pin
將,jiāng,leading; to lead; to take along,江,普門品,pumen_pin
施,shī,to bestow; to give; giving (Skt. dāna),"尸, 師, 失",普門品,pumen_pin
能,néng,able to; can; capable of,,普門品,pumen_pin
俱,jù,together; in unison; all at once,"炬, 具, 聚, 句",普門品,pumen_pin
故,gù,therefore; for this reason; because,,普門品,pumen_pin
常,cháng,constantly; always; ever,長,普門品,pumen_pin
念,niàn,to be mindful of; to recite; to keep in mind,,普門品,pumen_pin
宿,sù,past lives; previous existences; from of old,速,普門品,pumen_pin
遊,yóu,to roam; to wander; to travel through,"由, 猶",普門品,pumen_pin
度,dù,to save; to liberate; to ferry across,"土, 渡",普門品,pumen_pin
現,xiàn,to manifest; to appear as; to display,,普門品,pumen_pin
龍,lóng,dragon; nāga,,普門品,pumen_pin
形,xíng,form; in all manner of forms; bodily shape,行,普門品,pumen_pin
白,bái,to address (a superior); to state to; to say to,,普門品,pumen_pin
頸,jǐng,neck,警,普門品,pumen_pin
愍,mǐn,to pity; to take compassion on,"皿, 黽",普門品,pumen_pin
奉,fèng,to offer (reverently); to present,,普門品,pumen_pin
塔,tǎ,stupa; pagoda; reliquary tower,,普門品,pumen_pin
具,jù,to be complete with; endowed with; to possess fully,"俱, 炬, 聚, 句",普門品,pumen_pin
偈,jì,verse; gāthā,"彐, 濟, 計, 伎, 髻, 迹, 寂, 暨, 際",普門品,pumen_pin
問,wèn,to ask; to question,,普門品,pumen_pin
尊,zūn,Honored One; revered; venerable,,普門品,pumen_pin
答,dá,to answer; to reply,,普門品,pumen_pin
侍,shì,to serve; to attend upon,"士, 氏, 示, 事, 是, 世, 飾, 逝, 釋, 誓, 勢, 識, 視",普門品,pumen_pin
發,fā,to make (vows); to bring forth; to give rise to,,普門品,pumen_pin
願,yuàn,vow; resolve; aspiration (Skt. praṇidhāna),怨,普門品,pumen_pin
池,chí,pool; pond,持,普門品,pumen_pin
沒,mò,to sink; to drown; to submerge,"末, 莫",普門品,pumen_pin
峰,fēng,peak; summit,"風, 峯",普門品,pumen_pin
墮,duò,to fall; to plunge; to tumble down,,普門品,pumen_pin
逐,zhú,to pursue; to chase,"竹, 燭",普門品,pumen_pin
損,sǔn,to harm; to damage; to injure,,普門品,pumen_pin
繞,rào,to surround; to encircle,,普門品,pumen_pin
咸,xián,all together; all of them; entirely,賢,普門品,pumen_pin
遭,zāo,to meet with; to encounter; to run into,,普門品,pumen_pin
逼,bī,to press upon; to oppress; to bear down on,,普門品,pumen_pin
雷,léi,thunder,,普門品,pumen_pin
電,diàn,lightning,,普門品,pumen_pin
雹,báo,hail,,普門品,pumen_pin
漸,jiàn,gradually; little by little,"見, 賤, 間",普門品,pumen_pin
鬼,guǐ,ghosts; hungry ghosts (Skt. preta),,普門品,pumen_pin
