chinese,pinyin,english_def,ch_tag,eng_tag
順,shùn,accord,Ten Great Vows,十大願王
諸,zhū,all,Ten Great Vows,十大願王
皆,jiē,all,Ten Great Vows,十大願王
切,qiè,all,Ten Great Vows,十大願王
常,cháng,always,Ten Great Vows,十大願王
生,shēng,beings; births,Ten Great Vows,十大願王
來,lái,Come,Ten Great Vows,十大願王
恆,héng,constantly,Ten Great Vows,十大願王
法,fǎ,dharma,Ten Great Vows,十大願王
門,mén,door,Ten Great Vows,十大願王
八,bā,Eighth,Ten Great Vows,十大願王
五,wǔ,Fifth,Ten Great Vows,十大願王
一,yī,First,Ten Great Vows,十大願王
華,huá,Flower,Ten Great Vows,十大願王
隨,suí,follow,Ten Great Vows,十大願王
四,sì,Fourth; four,Ten Great Vows,十大願王
登,dēng,gain,Ten Great Vows,十大願王
供,gòng,giving,Ten Great Vows,十大願王
障,zhàng,hindrance,Ten Great Vows,十大願王
者,zhě,is to,Ten Great Vows,十大願王
業,yè,karmic,Ten Great Vows,十大願王
眾,zhòng,living,Ten Great Vows,十大願王
稱,chēng,make,Ten Great Vows,十大願王
功,gōng,merit,Ten Great Vows,十大願王
九,jiǔ,Ninth; nine,Ten Great Vows,十大願王
養,yàng,offerings,Ten Great Vows,十大願王
途,tú,paths,Ten Great Vows,十大願王
修,xiū,practice,Ten Great Vows,十大願王
讚,zàn,praises,Ten Great Vows,十大願王
廣,guǎng,profoundly,Ten Great Vows,十大願王
方,fāng,quarters,Ten Great Vows,十大願王
悔,huǐ,reform,Ten Great Vows,十大願王
喜,xǐ,rejoice,Ten Great Vows,十大願王
住,zhù,remain,Ten Great Vows,十大願王
懺,chàn,repent,Ten Great Vows,十大願王
請,qǐng,request,Ten Great Vows,十大願王
敬,jìng,respect,Ten Great Vows,十大願王
二,èr,Second,Ten Great Vows,十大願王
玄,xuán,secret,Ten Great Vows,十大願王
七,qī,Seventh,Ten Great Vows,十大願王
六,liù,Sixth,Ten Great Vows,十大願王
藏,zàng,Store,Ten Great Vows,十大願王
學,xué,teaching,Ten Great Vows,十大願王
十,shí,Tenth; ten,Ten Great Vows,十大願王
三,sān,Third,Ten Great Vows,十大願王
如,rú,Thus,Ten Great Vows,十大願王
同,tóng,together,Ten Great Vows,十大願王
共,gòng,together,Ten Great Vows,十大願王
迴,huí,transfer,Ten Great Vows,十大願王
向,xiàng,transfer,Ten Great Vows,十大願王
轉,zhuǎn,turned,Ten Great Vows,十大願王
普,pǔ,universally,Ten Great Vows,十大願王
德,dé,virtue,Ten Great Vows,十大願王
輪,lún,wheel,Ten Great Vows,十大願王
難,nàn,woes,Ten Great Vows,十大願王
世,shì,world,Ten Great Vows,十大願王
禮,lǐ,worship,Ten Great Vows,十大願王
一切,yī qiè,All,Ten Great Vows,十大願王
諸佛,zhū fó,all Buddhas,Ten Great Vows,十大願王
佛學,fó xué,Buddhas' teaching,Ten Great Vows,十大願王
恆順,héng shùn,constantly accord,Ten Great Vows,十大願王
法輪,fǎ lún,dharma wheel,Ten Great Vows,十大願王
八難,bā nàn,eight woes,Ten Great Vows,十大願王
共入,gòng rù,enter all together,Ten Great Vows,十大願王
華藏,huá zàng,Flower Store,Ten Great Vows,十大願王
四生,sì shēng,four births,Ten Great Vows,十大願王
供養,gòng yàng,giving of offerings,Ten Great Vows,十大願王
業障,yè zhàng,karmic hindrance,Ten Great Vows,十大願王
眾生,zhòng shēng,living beings,Ten Great Vows,十大願王
摩訶,mó hē,Maha,Ten Great Vows,十大願王
稱讚,chēng zàn,make praises,Ten Great Vows,十大願王
功德,gōng dé,merit and virtue,Ten Great Vows,十大願王
性海,xìng hǎi,Nature Sea,Ten Great Vows,十大願王
九有,jiǔ yǒu,nine worldly realms,Ten Great Vows,十大願王
廣修,guǎng xiū,practice profoundly,Ten Great Vows,十大願王
般若,bō rě,Prajna,Ten Great Vows,十大願王
隨喜,suí xǐ,rejoice and follow,Ten Great Vows,十大願王
住世,zhù shì,remain in the world,Ten Great Vows,十大願王
懺悔,chàn huǐ,repent and reform,Ten Great Vows,十大願王
玄門,xuán mén,secret door,Ten Great Vows,十大願王
十方,shí fāng,ten quarters,Ten Great Vows,十大願王
三途,sān tú,three paths,Ten Great Vows,十大願王
三世,sān shì,three times,Ten Great Vows,十大願王
如來,rú lái,Thus Come Ones,Ten Great Vows,十大願王
同登,tóng dēng,together gain,Ten Great Vows,十大願王
迴向,huí xiàng,transfer merit,Ten Great Vows,十大願王
普皆,pǔ jiē,universally all,Ten Great Vows,十大願王
毘盧,pí lú,Vairochana,Ten Great Vows,十大願王
禮敬,lǐ jìng,worship and respect,Ten Great Vows,十大願王
摩訶薩,mó hē sà,Mahasattvas,Ten Great Vows,十大願王
波羅蜜,bō luó mì,Paramita,Ten Great Vows,十大願王
