chinese,pinyin,english_def,ch_tag,eng_tag
及,jí,and,BowingPatriarchs,禮祖
前,qián,before,BowingPatriarchs,禮祖
拜,bài,bow,BowingPatriarchs,禮祖
投,tóu,cast,BowingPatriarchs,禮祖
思,sī,conceive,BowingPatriarchs,禮祖
緣,yuán,Conditions,BowingPatriarchs,禮祖
重,zhòng,deeply,BowingPatriarchs,禮祖
難,nán,difficult,BowingPatriarchs,禮祖
勤,qín,diligently,BowingPatriarchs,禮祖
東,dōng,East,BowingPatriarchs,禮祖
空,kōng,empty,BowingPatriarchs,禮祖
位,wèi,everyone,BowingPatriarchs,禮祖
致,zhì,extend,BowingPatriarchs,禮祖
足,zú,feet,BowingPatriarchs,禮祖
影,yǐng,form,BowingPatriarchs,禮祖
地,dì,ground,BowingPatriarchs,禮祖
虛,xū,Hsu,BowingPatriarchs,禮祖
感,gǎn,influence,BowingPatriarchs,禮祖
交,jiāo,interchange,BowingPatriarchs,禮祖
命,mìng,life,BowingPatriarchs,禮祖
體,tǐ,limbs,BowingPatriarchs,禮祖
老,lǎo,Lord,BowingPatriarchs,禮祖
堂,táng,Monastery,BowingPatriarchs,禮祖
下,xià,Noble,BowingPatriarchs,禮祖
議,yì,of,BowingPatriarchs,禮祖
祖,zǔ,Patriarchs,BowingPatriarchs,禮祖
珠,zhū,pearl,BowingPatriarchs,禮祖
戒,jiè,Preceptor,BowingPatriarchs,禮祖
想,xiǎng,recite,BowingPatriarchs,禮祖
仁,rén,Ren,BowingPatriarchs,禮祖
應,yìng,response,BowingPatriarchs,禮祖
云,yún,saying,BowingPatriarchs,禮祖
呼,hū,says,BowingPatriarchs,禮祖
源,yuán,Source,BowingPatriarchs,禮祖
寂,jì,still,BowingPatriarchs,禮祖
萬,wàn,Ten Thousand,BowingPatriarchs,禮祖
能,néng,the one who,BowingPatriarchs,禮祖
所,suǒ,the one who is,BowingPatriarchs,禮祖
歷,lì,throughout,BowingPatriarchs,禮祖
代,dài,time,BowingPatriarchs,禮祖
接,jiē,touch,BowingPatriarchs,禮祖
西,xī,West,BowingPatriarchs,禮祖
帝,dì,wish-fulfilling,BowingPatriarchs,禮祖
雲,yún,Yun,BowingPatriarchs,禮祖
智,zhì,Zhi,BowingPatriarchs,禮祖
真,zhēn,TRUE,BowingPatriarchs,禮祖
三拜,sān bài,3 times,BowingPatriarchs,禮祖
住持,zhù chí,Abbot,BowingPatriarchs,禮祖
皈命,guī mìng,bow in worship,BowingPatriarchs,禮祖
禮拜,lǐ bài,Bow to,BowingPatriarchs,禮祖
禮祖,lǐ zǔ,Bowing to the Patriarchs,BowingPatriarchs,禮祖
投地,tóu dì,cast to the ground,BowingPatriarchs,禮祖
思議,sī yì,conceive of,BowingPatriarchs,禮祖
勤重,qín zhòng,diligently and deeply,BowingPatriarchs,禮祖
東土,dōng tǔ,East,BowingPatriarchs,禮祖
空寂,kōng jì,empty and still,BowingPatriarchs,禮祖
滅障,miè zhàng,eradicate obstacles,BowingPatriarchs,禮祖
致禮,zhì lǐ,extend bows,BowingPatriarchs,禮祖
五體,wǔ tǐ,five limbs,BowingPatriarchs,禮祖
問訊,wèn xùn,half-bow,BowingPatriarchs,禮祖
和尚,hé shàng,High Master,BowingPatriarchs,禮祖
西天,xī tiān,Holy Ones; West,BowingPatriarchs,禮祖
感應,gǎn yìng,influence and response,BowingPatriarchs,禮祖
道交,dào jiāo,interchange in the path,BowingPatriarchs,禮祖
維那,wéi nà,leader,BowingPatriarchs,禮祖
影現,yǐng xiàn,manifests,BowingPatriarchs,禮祖
堂上,táng shàng,Monastery,BowingPatriarchs,禮祖
祖師,zǔ shī,Patriarch,BowingPatriarchs,禮祖
戒源,jiè yuán,Preceptor Yun,BowingPatriarchs,禮祖
為求,wèi qiú,Seeking to,BowingPatriarchs,禮祖
萬佛,wàn fó,Ten Thousand Buddhas,BowingPatriarchs,禮祖
所禮,suǒ lǐ,the worshipped,BowingPatriarchs,禮祖
能禮,néng lǐ,the worshipper,BowingPatriarchs,禮祖
三緣,sān yuán,Three Conditions,BowingPatriarchs,禮祖
歷代,lì dài,throughout time,BowingPatriarchs,禮祖
接足,jiē zú,touch feet,BowingPatriarchs,禮祖
三寶,sān bǎo,Triple Jewel,BowingPatriarchs,禮祖
真如,zhēn rú,True Suchness,BowingPatriarchs,禮祖
帝珠,dì zhū,wish-fulfilling pearl,BowingPatriarchs,禮祖
老和尚,lǎo hé shàng,Lord High Master,BowingPatriarchs,禮祖
