chinese,pinyin,english_def,ch_tag,eng_tag,frequency
萬,wàn,Ten thousand,萬佛聖城宗旨,cttb_traditions,2
佛,fó,Buddha,萬佛聖城宗旨,cttb_traditions,3
聖,shèng,Sagely; Holy,萬佛聖城宗旨,cttb_traditions,2
城,chéng,City,萬佛聖城宗旨,cttb_traditions,2
宗,zōng,Principle; Ancestor,萬佛聖城宗旨,cttb_traditions,2
旨,zhǐ,Purpose; Decree,萬佛聖城宗旨,cttb_traditions,2
凍,dòng,Freeze; Freezing,萬佛聖城宗旨,cttb_traditions,1
死,sǐ,Death; Die,萬佛聖城宗旨,cttb_traditions,3
不,bù,Not; No,萬佛聖城宗旨,cttb_traditions,21
攀,pān,Climb; Grasp,萬佛聖城宗旨,cttb_traditions,1
緣,yuán,Conditions; Affinity,萬佛聖城宗旨,cttb_traditions,5
餓,è,Starving; Hungry,萬佛聖城宗旨,cttb_traditions,1
化,huà,Transform; Beg (alms),萬佛聖城宗旨,cttb_traditions,1
窮,qióng,Poor; Poverty,萬佛聖城宗旨,cttb_traditions,1
求,qiú,Seek; Ask for,萬佛聖城宗旨,cttb_traditions,2
隨,suí,Accord with; Follow,萬佛聖城宗旨,cttb_traditions,2
變,biàn,Change,萬佛聖城宗旨,cttb_traditions,2
抱,bào,Hold; Adhere,萬佛聖城宗旨,cttb_traditions,1
定,dìng,Firmly; Settle,萬佛聖城宗旨,cttb_traditions,1
我,wǒ,I; Me,萬佛聖城宗旨,cttb_traditions,1
們,men,(Plural marker),萬佛聖城宗旨,cttb_traditions,1
三,sān,Three,萬佛聖城宗旨,cttb_traditions,1
大,dà,Great; Big,萬佛聖城宗旨,cttb_traditions,1
捨,shě,Renounce; Give up,萬佛聖城宗旨,cttb_traditions,1
命,mìng,Life; Destiny,萬佛聖城宗旨,cttb_traditions,3
為,wèi,For; To do; As,萬佛聖城宗旨,cttb_traditions,3
事,shì,Matter; Work; Role,萬佛聖城宗旨,cttb_traditions,5
造,zào,Mold; Create,萬佛聖城宗旨,cttb_traditions,1
本,běn,Basic; Root,萬佛聖城宗旨,cttb_traditions,1
正,zhèng,Rectify; Proper,萬佛聖城宗旨,cttb_traditions,1
僧,sēng,Sangha; Monk,萬佛聖城宗旨,cttb_traditions,1
即,jí,Approach; Encounter,萬佛聖城宗旨,cttb_traditions,2
明,míng,Understand; Bright,萬佛聖城宗旨,cttb_traditions,2
理,lǐ,Principle; Reason,萬佛聖城宗旨,cttb_traditions,2
推,tuī,Push; Carry on,萬佛聖城宗旨,cttb_traditions,1
行,xíng,Act; Execute,萬佛聖城宗旨,cttb_traditions,1
祖,zǔ,Ancestor; Patriarch,萬佛聖城宗旨,cttb_traditions,1
師,shī,Teacher; Master,萬佛聖城宗旨,cttb_traditions,1
一,yī,One; Single,萬佛聖城宗旨,cttb_traditions,2
脈,mài,Pulse; Lineage,萬佛聖城宗旨,cttb_traditions,1
心,xīn,Mind; Heart,萬佛聖城宗旨,cttb_traditions,1
傳,chuán,Transmit; Transmission,萬佛聖城宗旨,cttb_traditions,1
問,wèn,Ask,萬佛聖城宗旨,cttb_traditions,7
自,zì,Self,萬佛聖城宗旨,cttb_traditions,9
己,jǐ,Self,萬佛聖城宗旨,cttb_traditions,7
是,shì,Is; Am; Are,萬佛聖城宗旨,cttb_traditions,17
爭,zhēng,Fight; Contend,萬佛聖城宗旨,cttb_traditions,1
貪,tān,Greedy; Greed,萬佛聖城宗旨,cttb_traditions,1
私,sī,Private; Selfish,萬佛聖城宗旨,cttb_traditions,1
利,lì,Profit; Advantage,萬佛聖城宗旨,cttb_traditions,1
打,dǎ,Strike; Do (action verb),萬佛聖城宗旨,cttb_traditions,1
妄,wàng,False; Absurd,萬佛聖城宗旨,cttb_traditions,1
語,yǔ,Language; Words,萬佛聖城宗旨,cttb_traditions,1
吃,chī,Eat,萬佛聖城宗旨,cttb_traditions,1
餐,cān,Meal,萬佛聖城宗旨,cttb_traditions,1
衣,yī,Clothing; Precept sash,萬佛聖城宗旨,cttb_traditions,1
離,lí,Leave; Depart,萬佛聖城宗旨,cttb_traditions,1
體,tǐ,Body,萬佛聖城宗旨,cttb_traditions,1
這,zhè,This; These,萬佛聖城宗旨,cttb_traditions,1
的,de,(Possessive particle),萬佛聖城宗旨,cttb_traditions,1
家,jiā,Family; Home,萬佛聖城宗旨,cttb_traditions,1
風,fēng,Wind; Tradition,萬佛聖城宗旨,cttb_traditions,1
