pali,lemma,english_primary,english_secondary,sanskrit,sanskrit_root,root_meaning,pali_conf,skt_conf,eng_tag,source_line
Yo,ya,who,that which,yaḥ,—,(relative pronoun stem),10,10,Morning Chanting,Yo so bhagavā
so,ta,that,he / the (aforementioned),saḥ,—,(demonstrative pronoun stem),10,10,Morning Chanting,Yo so bhagavā
bhagavā,bhagavant,Blessed One,the Lord; Fortunate One,bhagavān,√bhaj,to share / partake / be devoted to,10,9,Morning Chanting,Yo so bhagavā
arahaṁ,arahant,worthy one,one who has destroyed the defilements,arhan,√arh,to be worthy / deserve,10,10,Morning Chanting,Yo so bhagavā
sammāsambuddho,sammāsambuddha,perfectly enlightened one,fully self-awakened one,samyaksaṃbuddha,√budh,to awaken / know,10,10,Morning Chanting,Yo so bhagavā
sammā,sammā,rightly / perfectly,completely,samyak,—,(indeclinable: 'rightly'),10,10,Morning Chanting,Yo so bhagavā
sambuddho,sambuddha,fully awakened,self-awakened,saṃbuddha,√budh,to awaken / know (with sam-),10,10,Morning Chanting,Yo so bhagavā
Yo so bhagavā arahaṁ sammāsambuddho,—,To the Blessed One the Lord who fully attained perfect enlightenment,opening epithet-cluster of the Buddha,—,—,—,10,—,Morning Chanting,Yo so bhagavā
Svākkhāto,svākkhāta,well-expounded,well-spoken,svākhyāta,√khyā,to declare / proclaim,10,9,Morning Chanting,Svākkhāto yena bhagavatā
yena,ya,by whom,by which,yena,—,(instrumental of relative pronoun),10,10,Morning Chanting,Svākkhāto yena bhagavatā
bhagavatā,bhagavant,by the Blessed One,by the Lord (instr.),bhagavatā,√bhaj,to share / partake / be devoted to,10,9,Morning Chanting,Svākkhāto yena bhagavatā
dhammo,dhamma,Teaching,the Dhamma; doctrine; truth,dharma,√dhṛ,to hold / bear / uphold,10,10,Morning Chanting,Svākkhāto yena bhagavatā
Svākkhāto yena bhagavatā dhammo,—,To the Teaching which he expounded so well,Dhamma-recollection formula,—,—,—,10,—,Morning Chanting,Svākkhāto yena bhagavatā
Supaṭipanno,supaṭipanna,well-practised,one who practises well,supratipanna,√pad,to step / go (with prati-),10,9,Morning Chanting,Supaṭipanno yassa
yassa,ya,whose,of whom (gen.),yasya,—,(genitive of relative pronoun),10,10,Morning Chanting,Supaṭipanno yassa
bhagavato,bhagavant,of the Blessed One,of the Lord (gen.),bhagavataḥ,√bhaj,to share / partake / be devoted to,10,9,Morning Chanting,Supaṭipanno yassa
sāvaka,sāvaka,disciple,hearer; one who listens,śrāvaka,√śru,to hear,10,10,Morning Chanting,Supaṭipanno yassa
saṅgho,saṅgha,community,assembly; the Saṅgha,saṃgha,√han,to come together / assemble (with sam-),10,7,Morning Chanting,Supaṭipanno yassa
sāvakasaṅgho,sāvakasaṅgha,community of disciples,disciple-Saṅgha,śrāvakasaṃgha,√śru + √han,to hear + to come together,10,8,Morning Chanting,Supaṭipanno yassa
Supaṭipanno yassa bhagavato sāvakasaṅgho,—,The Blessed One's disciples who have practised well,Saṅgha-recollection formula,—,—,—,10,—,Morning Chanting,Supaṭipanno yassa
Tam,ta,that / him (acc.),him (the aforementioned),tam,—,(acc. sg. of demonstrative ta),10,10,Morning Chanting,Tam-mayaṁ bhagavantaṁ
mayaṁ,amha,we,we (1st pl. nom.),vayam,—,(1pl. personal pronoun),10,10,Morning Chanting,Tam-mayaṁ bhagavantaṁ
bhagavantaṁ,bhagavant,Blessed One (acc.),the Lord (object),bhagavantam,√bhaj,to share / partake / be devoted to,10,9,Morning Chanting,Tam-mayaṁ bhagavantaṁ
sadhammaṁ,sadhamma,together with the Dhamma,with his Teaching,sadharmam,√dhṛ,to hold / bear / uphold (with sa- 'with'),10,9,Morning Chanting,Tam-mayaṁ bhagavantaṁ
sasaṅghaṁ,sasaṅgha,together with the Saṅgha,with his community,sasaṃgham,√han,to come together (with sa- 'with'),10,7,Morning Chanting,Tam-mayaṁ bhagavantaṁ
Tam-mayaṁ bhagavantaṁ sadhammaṁ sasaṅghaṁ,—,To these — the Buddha the Dhamma and the Saṅgha,Triple Gem invocation,—,—,—,10,—,Morning Chanting,Tam-mayaṁ bhagavantaṁ
Imehi,ima,with these,by means of these (instr. pl.),ebhiḥ,—,(instr. pl. of demonstrative ima),10,10,Morning Chanting,Imehi sakkārehi
sakkārehi,sakkāra,with offerings,with acts of veneration,satkāraiḥ,√kṛ,to do / make (with sat- 'good'),10,9,Morning Chanting,Imehi sakkārehi
yathārahaṁ,yathāraha,fittingly,as is suitable / proper,yathārham,√arh,to be worthy / deserve,10,10,Morning Chanting,Imehi sakkārehi
āropitehi,āropita,which have been raised up,offered up; presented,āropitaiḥ,√ruh,to ascend (caus. with ā-: 'cause to ascend'),10,9,Morning Chanting,Imehi sakkārehi
abhipūjayāma,abhipūjeti,we render homage,we worship / venerate (1pl.),abhipūjayāmaḥ,√pūj,to honour / worship,10,10,Morning Chanting,Imehi sakkārehi
Imehi sakkārehi yathārahaṁ āropitehi abhipūjayāma,—,We render with offerings our rightful homage,offering-gesture formula,—,—,—,10,—,Morning Chanting,Imehi sakkārehi
Sādhu,sādhu,well / good,it is well; excellent,sādhu,√sādh?,to accomplish / succeed,10,7,Morning Chanting,Sādhu no bhante
no,amha,for us,to us (1pl. enclitic),naḥ,—,(1pl. enclitic pronoun),10,10,Morning Chanting,Sādhu no bhante
bhante,bhadanta,venerable sir,O reverend one (vocative),bhadanta,√bhand?,to be auspicious / fortunate,9,5,Morning Chanting,Sādhu no bhante
sucira,cira,long-time,for a long while (with su- intensifier),sucira,—,(adj. 'long-lasting'),10,9,Morning Chanting,Sādhu no bhante
parinibbuto,parinibbuta,fully extinguished,one who has attained parinibbāna,parinirvṛta,√vā,to blow (out) — with pari-nir-,10,9,Morning Chanting,Sādhu no bhante
api,api,even / also,though (here as enclitic 'pi),api,—,(indeclinable particle),10,10,Morning Chanting,Sādhu no bhante
sucira-parinibbutopi,sucira-parinibbuta,though long since attained final liberation,even though long ago fully extinguished,suciraparinirvṛto'pi,√vā,to blow (out) — with pari-nir-,10,8,Morning Chanting,Sādhu no bhante
Sādhu no bhante bhagavā sucira-parinibbutopi,—,It is well for us that the Blessed One having attained liberation,opening of post-parinibbāna verse,—,—,—,10,—,Morning Chanting,Sādhu no bhante
Pacchimā,pacchima,later,latter; subsequent,paścimā,—,(from paścāt 'after / behind'),10,9,Morning Chanting,Pacchimā-janatā
janatā,janatā,generations / people,a body of people; populace,janatā,√jan,to be born / arise,10,10,Morning Chanting,Pacchimā-janatā
anukampā,anukampā,compassion,sympathy; pity,anukampā,√kamp,to tremble (with anu- 'along with'),10,9,Morning Chanting,Pacchimā-janatā
mānasā,mānasa,with mind,mentally; in mind,mānasena,√man,to think,10,9,Morning Chanting,Pacchimā-janatā
Pacchimā-janatānukampa-mānasā,—,Still had compassion for later generations,compound: 'mind-compassionate-toward-later-generations',paścimajanatānukampāmānasaḥ,—,(compound — see components),9,7,Morning Chanting,Pacchimā-janatā
Ime,ima,these,these (acc. pl.),imān,—,(demonstrative pronoun stem),10,9,Morning Chanting,Ime sakkāre
