chinese,pinyin,english_def,ch_tag,eng_tag
蓮,lián,lotus,阿彌陀經,AmitabhaSutra
池,chí,pool; pond,阿彌陀經,AmitabhaSutra
海,hǎi,sea; ocean,阿彌陀經,AmitabhaSutra
會,huì,assembly; meeting; able to,阿彌陀經,AmitabhaSutra
佛,fó,Buddha; awakened one,阿彌陀經,AmitabhaSutra
說,shuō,to speak; explain; (also: 'doctrine'),阿彌陀經,AmitabhaSutra
經,jīng,sutra; scripture; classic; warp (of fabric),阿彌陀經,AmitabhaSutra
如,rú,thus; like; as,阿彌陀經,AmitabhaSutra
是,shì,this; is; right (yes),阿彌陀經,AmitabhaSutra
我,wǒ,I; me; self,阿彌陀經,AmitabhaSutra
聞,wén,to hear,阿彌陀經,AmitabhaSutra
一,yī,one,阿彌陀經,AmitabhaSutra
時,shí,time; moment,阿彌陀經,AmitabhaSutra
在,zài,at; in; to be (located),阿彌陀經,AmitabhaSutra
國,guó,country; land; kingdom,阿彌陀經,AmitabhaSutra
樹,shù,tree,阿彌陀經,AmitabhaSutra
與,yǔ,together with; and; (also wèi: for),阿彌陀經,AmitabhaSutra
大,dà,great; large; big,阿彌陀經,AmitabhaSutra
僧,sēng,monk; sangha (saṃgha),阿彌陀經,AmitabhaSutra
千,qiān,thousand,阿彌陀經,AmitabhaSutra
二,èr,two,阿彌陀經,AmitabhaSutra
百,bǎi,hundred,阿彌陀經,AmitabhaSutra
五,wǔ,five,阿彌陀經,AmitabhaSutra
十,shí,ten,阿彌陀經,AmitabhaSutra
人,rén,person; human,阿彌陀經,AmitabhaSutra
俱,jù,together; all; in all,阿彌陀經,AmitabhaSutra
皆,jiē,all; everyone,阿彌陀經,AmitabhaSutra
眾,zhòng,multitude; many; assembly,阿彌陀經,AmitabhaSutra
所,suǒ,place; that which (relativizer); used in passive,阿彌陀經,AmitabhaSutra
知,zhī,to know,阿彌陀經,AmitabhaSutra
識,shí,to recognize; know (also zhì: record),阿彌陀經,AmitabhaSutra
長,zhǎng,elder; senior; to grow,阿彌陀經,AmitabhaSutra
老,lǎo,old; elder; venerable,阿彌陀經,AmitabhaSutra
利,lì,benefit; sharp; profit,阿彌陀經,AmitabhaSutra
多,duō,many; much,阿彌陀經,AmitabhaSutra
周,zhōu,around; circumference; complete cycle,阿彌陀經,AmitabhaSutra
難,nán,difficult; hard,阿彌陀經,AmitabhaSutra
劫,jié,"kalpa; cosmic eon (also = to rob, calamity)",阿彌陀經,AmitabhaSutra
樓,lóu,multi-storied building; tower,阿彌陀經,AmitabhaSutra
等,děng,and so on; equal; class; rank,阿彌陀經,AmitabhaSutra
諸,zhū,all; various (plural marker),阿彌陀經,AmitabhaSutra
弟,dì,younger brother; disciple,阿彌陀經,AmitabhaSutra
子,zǐ,child; son; suffix for honorifics,阿彌陀經,AmitabhaSutra
并,bìng,together with; and; combine,阿彌陀經,AmitabhaSutra
師,shī,"teacher; master (also in 師子 = lion, and Manjushri 文殊師利)",阿彌陀經,AmitabhaSutra
法,fǎ,dharma; law; teaching; method,阿彌陀經,AmitabhaSutra
王,wáng,king,阿彌陀經,AmitabhaSutra
常,cháng,always; constant; usually,阿彌陀經,AmitabhaSutra
精,jīng,"essence; refined; spirit (also in 精進 = vīrya, vigor)",阿彌陀經,AmitabhaSutra
進,jìn,to advance; progress (also in 精進 = vigor),阿彌陀經,AmitabhaSutra
及,jí,and; reach; up to,阿彌陀經,AmitabhaSutra
因,yīn,cause; because (hetu),阿彌陀經,AmitabhaSutra
無,wú,not; without; lacking,阿彌陀經,AmitabhaSutra
量,liàng,measure; quantity,阿彌陀經,AmitabhaSutra
天,tiān,heaven; sky; deva,阿彌陀經,AmitabhaSutra
爾,ěr,you; that; thus (literary),阿彌陀經,AmitabhaSutra
告,gào,to tell; address; announce,阿彌陀經,AmitabhaSutra
從,cóng,from; to follow,阿彌陀經,AmitabhaSutra
西,xī,west,阿彌陀經,AmitabhaSutra
方,fāng,direction; region; square,阿彌陀經,AmitabhaSutra
過,guò,to pass through; cross; surpass,阿彌陀經,AmitabhaSutra
萬,wàn,ten thousand; myriad,阿彌陀經,AmitabhaSutra
億,yì,hundred million; vast number,阿彌陀經,AmitabhaSutra
土,dù,"land; earth; territory (in 國土, 佛土); (also tǔ: soil)",阿彌陀經,AmitabhaSutra
有,yǒu,to have; there is; exist,阿彌陀經,AmitabhaSutra
世,shì,world; age; generation,阿彌陀經,AmitabhaSutra
界,jiè,realm; boundary; world,阿彌陀經,AmitabhaSutra
名,míng,name; called; famous,阿彌陀經,AmitabhaSutra
曰,yuē,to be called; say (literary),阿彌陀經,AmitabhaSutra
極,jí,ultimate; extreme; pole,阿彌陀經,AmitabhaSutra
樂,lè,bliss; happiness; joy,阿彌陀經,AmitabhaSutra
其,qí,its; his; that (literary pronoun),阿彌陀經,AmitabhaSutra
號,hào,title; named; cry out,阿彌陀經,AmitabhaSutra
今,jīn,now; present; today,阿彌陀經,AmitabhaSutra
現,xiàn,to appear; manifest; present,阿彌陀經,AmitabhaSutra
