chinese,pinyin,english_def,ch_tag,eng_tag
蒙,méng,Cover; Meng,蒙山,meng_shan_offering
山,shān,Mountain,蒙山,meng_shan_offering
施,shī,Give; Bestow,蒙山,meng_shan_offering
食,shí,Food; Eat,蒙山,meng_shan_offering
儀,yí,Ceremony; Rite,蒙山,meng_shan_offering
若,ruò,If,蒙山,meng_shan_offering
人,rén,Person,蒙山,meng_shan_offering
欲,yù,Wish; Desire,蒙山,meng_shan_offering
了,liǎo,Understand; Finish,蒙山,meng_shan_offering
知,zhī,Know,蒙山,meng_shan_offering
三,sān,Three,蒙山,meng_shan_offering
世,shì,Time; Generation; World,蒙山,meng_shan_offering
一,yī,One; All,蒙山,meng_shan_offering
切,qiè,All (in 一切); Cut,蒙山,meng_shan_offering
佛,fó,Buddha,蒙山,meng_shan_offering
應,yīng,Should; Contemplate,蒙山,meng_shan_offering
觀,guān,Contemplate; Observe,蒙山,meng_shan_offering
法,fǎ,Dharma; Law,蒙山,meng_shan_offering
界,jiè,Realm; Boundary,蒙山,meng_shan_offering
性,xìng,Nature,蒙山,meng_shan_offering
唯,wéi,Only,蒙山,meng_shan_offering
心,xīn,Mind,蒙山,meng_shan_offering
造,zào,Create; Mold,蒙山,meng_shan_offering
破,pò,Smash; Break,蒙山,meng_shan_offering
地,dì,Earth; Ground,蒙山,meng_shan_offering
獄,yù,Hell; Prison,蒙山,meng_shan_offering
真,zhēn,TRUE,蒙山,meng_shan_offering
言,yán,Words,蒙山,meng_shan_offering
普,pǔ,Universal; Everywhere,蒙山,meng_shan_offering
召,zhào,Call,蒙山,meng_shan_offering
請,qǐng,Invite,蒙山,meng_shan_offering
南,nā,Namo (Phonetic),蒙山,meng_shan_offering
無,mó,Namo (Phonetic); Without,蒙山,meng_shan_offering
常,cháng,Constant; Always,蒙山,meng_shan_offering
住,zhù,Dwell,蒙山,meng_shan_offering
十,shí,Ten,蒙山,meng_shan_offering
方,fāng,Direction,蒙山,meng_shan_offering
僧,sēng,Sangha,蒙山,meng_shan_offering
本,běn,Root; Fundamental,蒙山,meng_shan_offering
師,shī,Teacher,蒙山,meng_shan_offering
釋,shì,Shakya (Phonetic),蒙山,meng_shan_offering
迦,jiā,Muni (Phonetic),蒙山,meng_shan_offering
牟,móu,Muni (Phonetic),蒙山,meng_shan_offering
尼,ní,Muni (Phonetic),蒙山,meng_shan_offering
大,dà,Great,蒙山,meng_shan_offering
悲,bēi,Compassion,蒙山,meng_shan_offering
音,yīn,Sound,蒙山,meng_shan_offering
菩,pú,Bodhi (Phonetic),蒙山,meng_shan_offering
薩,sà,Sattva (Phonetic),蒙山,meng_shan_offering
皈,guī,Return; Refuge,蒙山,meng_shan_offering
依,yī,Rely; Refuge,蒙山,meng_shan_offering
兩,liǎng,Two; Doubly,蒙山,meng_shan_offering
足,zú,Perfect; Feet,蒙山,meng_shan_offering
尊,zūn,Honored,蒙山,meng_shan_offering
離,lí,Leave; End,蒙山,meng_shan_offering
眾,zhòng,Multitude; Assembly,蒙山,meng_shan_offering
中,zhōng,Among; Middle,蒙山,meng_shan_offering
竟,jìng,Finish; End,蒙山,meng_shan_offering
子,zǐ,Child; Disciple,蒙山,meng_shan_offering
所,suǒ,That which,蒙山,meng_shan_offering
諸,zhū,All; Various,蒙山,meng_shan_offering
惡,è,Evil; Bad,蒙山,meng_shan_offering
業,yè,Karma,蒙山,meng_shan_offering
皆,jiē,All,蒙山,meng_shan_offering
由,yóu,From; Through,蒙山,meng_shan_offering
始,shǐ,Beginning,蒙山,meng_shan_offering
貪,tān,Craving; Greed,蒙山,meng_shan_offering
瞋,chēn,Anger,蒙山,meng_shan_offering
癡,chī,Delusion,蒙山,meng_shan_offering
從,cóng,From,蒙山,meng_shan_offering
身,shēn,Body,蒙山,meng_shan_offering
語,yǔ,Speech,蒙山,meng_shan_offering
意,yì,Mind; Thought,蒙山,meng_shan_offering
之,zhī,Of (Possessive),蒙山,meng_shan_offering
生,shēng,Arise; Born,蒙山,meng_shan_offering
懺,chàn,Repent,蒙山,meng_shan_offering
悔,huǐ,Repent; Regret,蒙山,meng_shan_offering
有,yǒu,Have,蒙山,meng_shan_offering
情,qíng,Sentient; Feeling,蒙山,meng_shan_offering
邊,biān,Bound; Edge,蒙山,meng_shan_offering
誓,shì,Vow,蒙山,meng_shan_offering
願,yuàn,Vow; Wish,蒙山,meng_shan_offering
度,dù,Save; Cross over,蒙山,meng_shan_offering
煩,fán,Affliction,蒙山,meng_shan_offering
惱,nǎo,Affliction,蒙山,meng_shan_offering
盡,jìn,End; Exhaust,蒙山,meng_shan_offering
斷,duàn,End; Sever,蒙山,meng_shan_offering
門,mén,Door; Method,蒙山,meng_shan_offering
量,liàng,Measure; Limit,蒙山,meng_shan_offering
學,xué,Learn,蒙山,meng_shan_offering
道,dào,Way; Path,蒙山,meng_shan_offering
上,shàng,Above; Supreme,蒙山,meng_shan_offering
成,chéng,Realize; Accomplish,蒙山,meng_shan_offering
自,zì,Self,蒙山,meng_shan_offering
滅,miè,Extinguish; End,蒙山,meng_shan_offering
定,dìng,Fixed,蒙山,meng_shan_offering
障,zhàng,Obstacle,蒙山,meng_shan_offering
開,kāi,Open,蒙山,meng_shan_offering
咽,yān,Throat,蒙山,meng_shan_offering
喉,hóu,Throat,蒙山,meng_shan_offering
昧,mèi,Samaya (Phonetic),蒙山,meng_shan_offering
耶,yē,Samaya (Phonetic),蒙山,meng_shan_offering
戒,jiè,Precept,蒙山,meng_shan_offering
變,biàn,Transform,蒙山,meng_shan_offering
甘,gān,Sweet,蒙山,meng_shan_offering
露,lù,Dew,蒙山,meng_shan_offering
水,shuǐ,Water,蒙山,meng_shan_offering
字,zì,Character; Word,蒙山,meng_shan_offering
多,duō,Many,蒙山,meng_shan_offering
寶,bǎo,Jewel,蒙山,meng_shan_offering
如,rú,Thus,蒙山,meng_shan_offering
來,lái,Come,蒙山,meng_shan_offering
勝,shèng,Peerless; Victorious,蒙山,meng_shan_offering
妙,miào,Wondrous,蒙山,meng_shan_offering
色,sè,Form,蒙山,meng_shan_offering
廣,guǎng,Vast,蒙山,meng_shan_offering
博,bó,Expansive,蒙山,meng_shan_offering
怖,bù,Fear,蒙山,meng_shan_offering
畏,wèi,Fear,蒙山,meng_shan_offering
王,wáng,King,蒙山,meng_shan_offering
阿,ā,Amita (Phonetic),蒙山,meng_shan_offering
彌,mí,Amita (Phonetic),蒙山,meng_shan_offering
陀,tuó,Amita (Phonetic),蒙山,meng_shan_offering
神,shén,Divine; Spiritual,蒙山,meng_shan_offering
咒,zhòu,Mantra,蒙山,meng_shan_offering
加,jiā,Add; Bless,蒙山,meng_shan_offering
持,chí,Hold; Bless,蒙山,meng_shan_offering
淨,jìng,Pure,蒙山,meng_shan_offering
河,hé,River,蒙山,meng_shan_offering
沙,shā,Sand,蒙山,meng_shan_offering
飽,bǎo,Full,蒙山,meng_shan_offering
滿,mǎn,Content; Full,蒙山,meng_shan_offering
捨,shě,Renounce,蒙山,meng_shan_offering
慳,qiān,Stingy,蒙山,meng_shan_offering
速,sù,Swiftly,蒙山,meng_shan_offering
脫,tuō,Leave; Escape,蒙山,meng_shan_offering
幽,yōu,Dark,蒙山,meng_shan_offering
冥,míng,Dark; Underworld,蒙山,meng_shan_offering
土,tǔ,Land,蒙山,meng_shan_offering
發,fā,Bring forth,蒙山,meng_shan_offering
提,tí,Bodhi (Phonetic),蒙山,meng_shan_offering
究,jiū,Ultimate,蒙山,meng_shan_offering
得,dé,Attain,蒙山,meng_shan_offering
功,gōng,Merit,蒙山,meng_shan_offering
德,dé,Virtue,蒙山,meng_shan_offering
未,wèi,Not yet,蒙山,meng_shan_offering
同,tóng,Share; Same,蒙山,meng_shan_offering
孤,gū,Lonely,蒙山,meng_shan_offering
魂,hún,Spirit,蒙山,meng_shan_offering
汝,rǔ,You,蒙山,meng_shan_offering
等,děng,Plural marker; Wait,蒙山,meng_shan_offering
今,jīn,Now,蒙山,meng_shan_offering
供,gòng,Offering,蒙山,meng_shan_offering
此,cǐ,This,蒙山,meng_shan_offering
遍,biàn,Pervade,蒙山,meng_shan_offering
以,yǐ,With,蒙山,meng_shan_offering
及,jí,Reach,蒙山,meng_shan_offering
於,yú,To; In,蒙山,meng_shan_offering
與,yǔ,To; And,蒙山,meng_shan_offering
蒙山,méng shān,Meng Shan,蒙山,meng_shan_offering
施食,shī shí,Give food; Offering,蒙山,meng_shan_offering
一切,yī qiè,All,蒙山,meng_shan_offering
法界,fǎ jiè,Dharma realm,蒙山,meng_shan_offering
唯心,wéi xīn,Only mind,蒙山,meng_shan_offering
地獄,dì yù,Hell,蒙山,meng_shan_offering
真言,zhēn yán,True words; Mantra,蒙山,meng_shan_offering
召請,zhào qǐng,Invite,蒙山,meng_shan_offering
南無,nā mó,Namo; Homage,蒙山,meng_shan_offering
常住,cháng zhù,Dwell for all time,蒙山,meng_shan_offering
十方,shí fāng,Ten directions,蒙山,meng_shan_offering
